STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      Berlin-Dahlem;20141209;   3;    0.0;   5.6;   2.7; 1015.83;   91.96;-999;    4.7;   -2.1;   -4.7;-999;   0.0;   0;    6.217;   0;eor
      Berlin-Dahlem;20141210;   3;    1.2;   6.0;   6.5; 1007.30;   90.46;-999;    3.0;   -2.0;   -3.7;-999;   1.5;   8;    0.000;   0;eor
      Berlin-Dahlem;20141211;   3;    2.9;   6.8;   5.5;  997.71;   90.33;-999;    5.8;    1.6;   -0.9;-999;   3.7;   8;    0.000;   0;eor
      Berlin-Dahlem;20141212;   3;    6.5;   7.6;   7.5;  990.80;   80.04;-999;   10.2;    2.0;    0.4;-999;   2.9;   6;    0.000;   0;eor
      Berlin-Dahlem;20141213;   3;    5.5;   6.9;   6.7;  998.54;   76.71;-999;    7.6;    3.7;    1.6;-999;   0.0;   6;    0.367;   0;eor
      Berlin-Dahlem;20141214;   3;    3.4;   7.2;   7.0; 1006.32;   91.71;-999;    4.7;    0.5;   -2.4;-999;   0.0;   0;    0.333;   0;eor
      Berlin-Dahlem;20141215;   3;    3.9;   6.9;   6.3; 1003.15;   85.33;-999;    6.4;    0.6;   -2.5;-999;   0.6;   6;    2.167;   0;eor
      Berlin-Dahlem;20141216;   3;    4.3;   7.3;   6.5; 1000.65;   87.58;-999;    5.8;    2.6;    0.5;-999;   0.0;   6;    0.033;   0;eor
      Berlin-Dahlem;20141217;   3;    2.4;   6.8;   6.2;  997.46;   94.17;-999;    5.2;   -0.2;   -2.9;-999;   1.8;   6;    0.517;   0;eor
      Berlin-Dahlem;20141218;   3;    8.6;  10.8;   7.8;  997.87;   96.67;-999;   11.3;    5.2;    4.7;-999;   3.9;   6;    0.000;   0;eor
      Berlin-Dahlem;20141219;   3;    9.8;  11.1;   6.8;  997.47;   90.75;-999;   11.8;    4.9;    2.4;-999;   4.1;   6;    0.000;   0;eor
      Berlin-Dahlem;20141220;   3;    5.1;   6.7;   6.5; 1001.18;   77.33;-999;    7.4;    1.0;   -0.2;-999;   7.6;   8;    0.000;   0;eor
      Berlin-Dahlem;20141221;   3;    5.5;   7.5;   7.3; 1010.02;   83.58;-999;    7.0;    3.9;    2.7;-999;   2.2;   6;    0.217;   0;eor
      Berlin-Dahlem;20141222;   3;    9.4;  10.5;   8.0; 1000.34;   88.75;-999;   11.0;    6.4;    5.5;-999;   6.2;   6;    0.000;   0;eor
      Berlin-Dahlem;20141223;   3;   10.5;  10.8;   7.8; 1001.38;   85.38;-999;   11.1;    9.6;    8.6;-999;   2.6;   6;    0.000;   0;eor
      Berlin-Dahlem;20141224;   3;    8.1;   9.3;   6.9; 1000.87;   86.00;-999;   10.9;    4.1;    2.0;-999;   3.4;   6;    0.000;   0;eor
      Berlin-Dahlem;20141225;   3;    4.3;   6.6;   5.4; 1005.15;   79.92;-999;    6.1;    1.6;   -0.2;-999;   1.5;   8;    0.950;   0;eor
      Berlin-Dahlem;20141226;   3;   -0.9;   5.4;   4.8; 1015.24;   93.58;-999;    1.8;   -5.2;   -7.0;-999;   1.5;   7;    1.300;   0;eor
      Berlin-Dahlem;20141227;   3;   -4.6;   4.1;   4.0; 1003.83;   94.58;-999;   -2.0;   -6.4;   -8.7;-999;   0.0;   0;    4.900;   0;eor
      Berlin-Dahlem;20141228;   3;   -5.1;   3.8;   4.6; 1012.22;   90.21;-999;   -2.3;   -7.6;  -10.1;-999;   3.6;   7;    1.333;   0;eor
      Berlin-Dahlem;20141229;   3;   -3.6;   4.5;   5.6; 1018.05;   95.92;-999;   -1.9;   -6.0;  -13.8;-999;   0.0;   7;    6.117;  11;eor
      Berlin-Dahlem;20141230;   3;   -1.8;   5.2;   7.9; 1020.31;   97.42;-999;    1.1;   -3.5;   -4.6;-999;   0.6;   8;    0.000;   8;eor
      Berlin-Dahlem;20141231;   3;    2.8;   7.4;   8.0; 1019.90;   99.00;-999;    4.9;    1.1;    0.0;-999;   0.9;   6;    0.000;   6;eor
      Berlin-Dahlem;20150101;   3;    3.5;   7.0;   6.0; 1020.62;   88.46;-999;    5.6;    1.7;   -0.1;-999;   0.0;   6;    5.167;   0;eor
      Berlin-Dahlem;20150102;   3;    5.2;   6.7;   6.7; 1008.86;   75.75;-999;    7.9;    2.4;    0.7;-999;   1.3;   6;    0.617;   0;eor
      Berlin-Dahlem;20150103;   3;    4.5;   5.7;   6.7; 1007.28;   68.04;-999;    5.8;    3.1;    1.7;-999;   0.2;   6;    0.000;   0;eor
      Berlin-Dahlem;20150104;   3;    3.5;   6.2;   5.3; 1011.73;   79.29;-999;    5.2;    1.6;   -0.6;-999;   1.1;   8;    1.933;   0;eor
      Berlin-Dahlem;20150105;   3;    3.3;   7.3;   7.8; 1016.75;   94.58;-999;    3.9;    1.6;    0.4;-999;   1.7;   6;    0.000;   0;eor
      Berlin-Dahlem;20150106;   3;    1.1;   6.5;   8.0; 1016.35;   97.25;-999;    3.2;   -0.8;   -1.9;-999;   0.1;   6;    0.000;   0;eor
      Berlin-Dahlem;20150107;   3;    1.8;   6.7;   5.2; 1014.39;   95.04;-999;    5.5;   -1.4;   -4.0;-999;   0.4;   6;    0.600;   0;eor
      Berlin-Dahlem;20150108;   3;    3.3;   7.5;   7.1; 1009.71;   95.08;-999;    6.7;    0.1;   -2.1;-999;   9.8;   8;    0.000;   0;eor
      Berlin-Dahlem;20150109;   3;    6.2;   7.6;   7.2; 1001.13;   80.50;-999;    9.3;    4.7;    3.0;-999;  17.0;   8;    0.000;   0;eor
      Berlin-Dahlem;20150110;   3;    8.5;   9.2;   6.7;  992.19;   80.83;-999;   12.9;    4.9;    3.1;-999;   5.0;   6;    0.000;   0;eor
      Berlin-Dahlem;20150111;   3;    3.4;   5.9;   5.8;  997.46;   75.88;-999;    5.0;    1.1;   -0.2;-999;   4.2;   8;    0.067;   0;eor
      Berlin-Dahlem;20150112;   3;    5.5;   8.1;   7.8; 1002.18;   90.00;-999;    7.8;    3.5;    2.7;-999;   3.2;   6;    0.000;   0;eor
      Berlin-Dahlem;20150113;   3;    9.9;   7.7;   6.7;  997.11;   64.21;-999;   12.5;    7.5;    6.1;-999;   3.2;   6;    3.550;   0;eor
      Berlin-Dahlem;20150114;   3;    5.9;   7.3;   6.3;  998.07;   78.29;-999;    7.6;    3.2;    1.1;-999;   0.4;   6;    2.667;   0;eor
      Berlin-Dahlem;20150115;   3;    4.9;   6.7;   6.4;  997.53;   78.17;-999;    9.8;    0.5;   -1.8;-999;   1.8;   6;    0.000;   0;eor
      Berlin-Dahlem;20150116;   3;    7.6;   7.5;   6.6;  996.67;   72.04;-999;    9.7;    5.0;    1.9;-999;   3.7;   6;    0.933;   0;eor
      Berlin-Dahlem;20150117;   3;    3.0;   7.2;   6.3; 1002.43;   93.92;-999;    5.1;   -2.2;   -4.9;-999;   0.0;   0;    1.333;   0;eor
      Berlin-Dahlem;20150118;   3;   -0.4;   5.4;   4.1; 1006.65;   91.42;-999;    3.8;   -3.3;   -5.4;-999;   0.0;   0;    6.850;   0;eor
      Berlin-Dahlem;20150119;   3;   -1.0;   5.6;   5.2; 1004.52;   98.00;-999;    1.1;   -4.4;   -7.2;-999;   0.0;   8;    0.000;   0;eor
      Berlin-Dahlem;20150120;   3;    0.9;   6.4;   7.9; 1001.88;   98.25;-999;    1.6;    0.1;   -0.5;-999;   1.7;   8;    0.000;   0;eor
      Berlin-Dahlem;20150121;   3;    0.5;   6.0;   7.7; 1005.97;   95.08;-999;    1.1;   -1.7;   -4.3;-999;   0.0;   7;    0.000;   0;eor
      Berlin-Dahlem;20150122;   3;   -0.3;   5.5;   7.2; 1008.77;   92.04;-999;    0.9;   -1.9;   -4.5;-999;   0.0;   7;    0.000;   0;eor
      Berlin-Dahlem;20150123;   3;    0.2;   5.4;   7.8; 1013.99;   86.58;-999;    1.1;   -0.3;   -1.2;-999;   0.0;   7;    0.000;   0;eor
      Berlin-Dahlem;20150124;   3;   -0.4;   5.1;   7.5; 1010.29;   85.00;-999;    0.7;   -1.7;   -4.2;-999;   0.0;   7;    0.000;   0;eor
      Berlin-Dahlem;20150125;   3;    0.8;   6.3;   8.0; 1014.20;   97.38;-999;    1.4;    0.2;    0.0;-999;   0.0;   6;    0.000;   0;eor
      Berlin-Dahlem;20150126;   3;    2.2;   6.6;   7.7; 1009.08;   92.29;-999;    4.5;    0.8;   -0.1;-999;   6.0;   8;    0.000;   0;eor
      Berlin-Dahlem;20150127;   3;    3.2;   6.8;   6.5; 1003.19;   88.71;-999;    4.5;   -0.3;   -3.2;-999;   0.3;   8;    0.017;   0;eor
      Berlin-Dahlem;20150128;   3;    3.1;   6.6;   7.5;  996.68;   86.92;-999;    5.3;   -0.1;   -1.5;-999;   4.8;   6;    1.200;   0;eor
      Berlin-Dahlem;20150129;   3;    2.0;   5.6;   4.6;  977.85;   79.42;-999;    3.8;    0.1;   -2.6;-999;   3.7;   8;    3.367;   0;eor
      Berlin-Dahlem;20150130;   3;    0.7;   6.4;   7.9;  964.51;   98.67;-999;    1.9;   -0.1;   -0.4;-999;   3.7;   8;    0.000;   3;eor
      Berlin-Dahlem;20150131;   3;    0.3;   6.0;   7.4;  970.12;   96.25;-999;    1.3;   -1.0;   -2.9;-999;   1.1;   7;    1.600;   6;eor
      Berlin-Dahlem;20150201;   3;    0.8;   5.7;   5.8;  979.08;   89.25;-999;    3.8;   -1.6;   -4.3;-999;   0.0;   7;    3.883;   5;eor
      Berlin-Dahlem;20150202;   3;    0.7;   5.6;   6.3;  985.07;   87.38;-999;    2.5;   -1.2;   -3.2;-999;   0.5;   8;    0.583;   4;eor
      Berlin-Dahlem;20150203;   3;   -0.1;   5.6;   7.8;  990.63;   92.42;-999;    1.4;   -1.6;   -3.3;-999;   0.6;   7;    0.000;   4;eor
      Berlin-Dahlem;20150204;   3;   -1.1;   5.0;   7.6; 1001.72;   90.00;-999;    0.0;   -1.9;   -2.5;-999;   0.0;   7;    0.000;   8;eor
      Berlin-Dahlem;20150205;   3;   -1.1;   4.5;   4.6; 1013.80;   80.96;-999;    2.8;   -3.1;   -6.2;-999;   0.0;   0;    6.883;   7;eor
      Berlin-Dahlem;20150206;   3;   -3.5;   4.3;   4.9; 1020.51;   91.08;-999;   -1.4;   -5.7;   -7.9;-999;   0.0;   7;    1.150;   6;eor
      Berlin-Dahlem;20150207;   3;   -1.2;   5.5;   7.0; 1014.26;   95.79;-999;    3.7;   -6.0;   -7.9;-999;   0.0;   8;    0.000;   5;eor
      Berlin-Dahlem;20150208;   3;    1.6;   3.8;   3.8; 1009.67;   55.50;-999;    3.9;   -0.6;   -2.8;-999;   1.0;   8;    7.150;   3;eor
      Berlin-Dahlem;20150209;   3;    4.0;   7.4;   7.7; 1009.33;   91.04;-999;    5.8;   -0.1;   -0.6;-999;   0.2;   6;    0.000;   3;eor
      Berlin-Dahlem;20150210;   3;    5.0;   7.5;   8.0; 1016.07;   85.54;-999;    5.6;    4.5;    3.5;-999;   0.0;   6;    0.000;   0;eor
      Berlin-Dahlem;20150211;   3;    4.8;   7.0;   7.8; 1017.51;   81.21;-999;    5.5;    3.0;    2.4;-999;   0.0;   0;    0.000;   0;eor
      Berlin-Dahlem;20150212;   3;    0.9;   5.7;   5.0; 1013.59;   87.25;-999;    3.3;   -3.2;   -5.4;-999;   0.0;   0;    2.283;   0;eor
      Berlin-Dahlem;20150213;   3;    0.7;   5.4;   4.2; 1009.30;   85.96;-999;    6.6;   -2.3;   -5.0;-999;   0.0;   0;    4.933;   0;eor
      Berlin-Dahlem;20150214;   3;    0.5;   5.1;   0.1; 1004.63;   82.29;-999;    7.0;   -3.8;   -6.2;-999;   0.0;   0;    9.067;   0;eor
      Berlin-Dahlem;20150215;   3;    2.4;   5.6;   0.4; 1008.85;   78.46;-999;    8.4;   -1.9;   -5.6;-999;   0.0;   0;    8.717;   0;eor
      Berlin-Dahlem;20150216;   3;    0.4;   5.3;   5.4; 1014.72;   85.13;-999;    2.9;   -1.9;   -4.1;-999;   0.0;   0;    2.467;   0;eor
      Berlin-Dahlem;20150217;   3;    0.9;   5.4;   2.6; 1020.83;   83.00;-999;    5.9;   -3.2;   -5.9;-999;   0.0;   6;    8.217;   0;eor
      Berlin-Dahlem;20150218;   3;    3.2;   6.1;   6.4; 1027.79;   81.13;-999;    7.4;    0.8;   -2.3;-999;   0.0;   0;    6.450;   0;eor
      Berlin-Dahlem;20150219;   3;    2.4;   5.7;   2.3; 1017.58;   80.50;-999;    8.3;   -1.0;   -4.8;-999;   0.0;   0;    8.617;   0;eor
      Berlin-Dahlem;20150220;   3;    3.2;   5.6;   3.6; 1003.54;   74.58;-999;    9.6;   -3.5;   -6.1;-999;   0.0;   0;    5.517;   0;eor
      Berlin-Dahlem;20150221;   3;    5.8;   5.6;   5.2;  989.13;   61.25;-999;   11.1;   -0.6;   -4.1;-999;   0.0;   8;    4.700;   0;eor
