STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      880;20141130;   3;   -1.3;   4.3;   7.8; 1011.30;   77.38;   5.0;   -0.1;   -2.1;   -2.6;  12.4;   0.0;   0;    0.000;   0;eor
      880;20141201;   3;   -2.4;   3.7;   8.0; 1010.56;   73.33;   5.5;   -2.2;   -2.7;   -2.9;  13.3;   0.0;   0;    0.000;   0;eor
      880;20141202;   3;   -2.3;   3.9;   7.9; 1009.37;   75.13;   3.8;   -1.7;   -2.9;   -3.5;  11.1;   0.0;   4;    0.000;   0;eor
      880;20141203;   3;   -0.2;   4.8;   7.9; 1013.23;   79.83;   2.2;    0.9;   -1.7;   -1.8;   5.2;   0.0;   4;    0.000;   0;eor
      880;20141204;   3;    2.7;   6.2;   7.8; 1011.15;   83.33;   3.1;    6.3;    0.1;   -2.2;   8.0;   0.0;   4;    0.600;   0;eor
      880;20141205;   3;    2.5;   7.0;   7.2; 1010.08;   94.92;   1.1;    4.5;   -0.1;   -1.8;   4.4;   0.0;   4;    0.000;   0;eor
      880;20141206;   3;    3.3;   7.2;   7.4; 1013.56;   92.96;   1.1;    5.4;    0.4;   -2.3;   3.3;   0.0;   0;    0.117;   0;eor
      880;20141207;   3;    3.8;   7.3;   6.7; 1011.66;   91.67;   1.6;    4.9;    2.2;   -0.4;   7.4;   1.6;   4;    0.017;   0;eor
      880;20141208;   3;    2.5;   6.4;   3.4; 1008.56;   87.54;   3.4;    6.1;   -2.8;   -6.4;   9.7;   0.0;   4;    5.700;   0;eor
      880;20141209;   3;   -2.0;   4.8;   0.4; 1018.00;   91.21;   1.7;    4.3;   -5.7;   -8.6;   4.6;   0.0;   0;    6.533;   0;eor
      880;20141210;   3;    0.4;   5.3;   7.8; 1011.16;   84.42;   3.8;    3.2;   -4.8;   -8.3;  12.1;   0.3;   4;    0.000;   0;eor
      880;20141211;   3;    4.0;   6.6;   6.5; 1001.17;   81.63;   4.5;    6.3;    1.2;   -0.9;  12.6;   1.1;   4;    0.250;   0;eor
      880;20141212;   3;    7.6;   7.4;   7.7;  994.99;   71.38;   6.2;   11.2;    3.3;    2.4;  16.9;   1.3;   4;    0.000;   0;eor
      880;20141213;   3;    5.9;   8.0;   7.6; 1000.86;   86.29;   3.2;   11.1;    3.1;    1.5;  13.1;   0.1;   4;    0.000;   0;eor
      880;20141214;   3;    3.7;   7.6;   7.6; 1008.09;   95.33;   1.0;    4.4;    3.0;    2.2;   3.9;   1.2;   4;    0.000;   0;eor
      880;20141215;   3;    5.9;   7.7;   7.0; 1005.60;   83.96;   3.1;   10.2;    2.4;    0.0;  11.4;   0.2;   4;    4.933;   0;eor
      880;20141216;   3;    5.6;   7.8;   7.3; 1002.83;   86.13;   2.6;    8.1;    3.0;    0.9;   7.0;   0.0;   4;    0.317;   0;eor
      880;20141217;   3;    3.1;   6.6;   5.2; 1000.22;   87.33;   3.4;    5.4;   -0.2;   -2.2;  10.4;   1.1;   4;    1.067;   0;eor
      880;20141218;   3;    8.6;  10.3;   7.7; 1000.70;   91.29;   4.3;   11.7;    4.9;    4.4;  11.3;   3.5;   4;    0.000;   0;eor
      880;20141219;   3;   10.9;  10.7;   6.9; 1000.33;   81.83;   6.2;   13.0;    5.9;    4.2;  14.5;   2.1;   4;    0.000;   0;eor
      880;20141220;   3;    5.6;   6.7;   7.2; 1004.28;   74.21;   7.1;    7.1;    0.8;   -0.1;  18.5;   6.3;   4;    0.000;   0;eor
