STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     Erfurt;20141130;   3;    0.2;   6.1;   8.0;  975.93;   97.58;   2.5;    1.1;   -0.5;   -0.4;   7.1;   0.0;   7;    0.000;   0;eor
     Erfurt;20141201;   3;   -2.3;   4.8;   8.0;  974.63;   93.25;   5.5;   -0.5;   -3.5;   -3.3;  12.3;   0.0;   0;    0.000;   0;eor
     Erfurt;20141202;   3;   -3.1;   4.5;   8.0;  976.13;   91.83;   3.6;   -2.0;   -3.8;   -3.5;   8.1;   1.5;   8;    0.000;   0;eor
     Erfurt;20141203;   3;   -3.4;   4.7;   8.0;  981.23;   99.21;   2.1;   -2.6;   -3.8;   -3.7;   4.1;   0.3;   8;    0.000;   2;eor
     Erfurt;20141204;   3;   -1.6;   5.4;   8.0;  978.84;  100.00;   1.1;   -0.5;   -2.7;   -2.4;   2.9;   0.4;   6;    0.000;   2;eor
     Erfurt;20141205;   3;    0.5;   6.4;   7.9;  979.42;  100.00;   1.4;    1.4;   -0.6;   -0.3;   3.2;   0.0;   6;    0.000;   1;eor
     Erfurt;20141206;   3;    1.9;   6.8;   7.5;  983.38;   97.75;   2.1;    3.0;    0.8;   -0.1;   4.5;   0.0;   6;    0.750;   0;eor
     Erfurt;20141207;   3;    2.4;   6.6;   6.9;  981.29;   91.08;   4.0;    4.0;    1.1;   -0.4;  12.8;   0.4;   6;    0.033;   0;eor
     Erfurt;20141208;   3;    1.1;   5.8;   3.3;  979.23;   86.75;   4.9;    4.0;   -3.8;   -6.8;  10.2;   0.0;   0;    5.333;   0;eor
     Erfurt;20141209;   3;   -1.3;   5.1;   3.8;  987.10;   91.63;   3.0;    2.5;   -4.5;   -7.5;  10.4;   0.0;   0;    4.983;   0;eor
     Erfurt;20141210;   3;    1.3;   5.7;   6.9;  979.96;   84.96;   7.8;    2.6;   -2.0;   -5.0;  17.6;   0.0;   6;    0.000;   0;eor
     Erfurt;20141211;   3;    2.8;   6.5;   6.3;  971.68;   87.33;   8.2;    5.2;    0.4;   -0.1;  18.7;   3.3;   8;    0.000;   0;eor
     Erfurt;20141212;   3;    6.5;   7.8;   7.3;  964.83;   80.96;  11.3;    8.8;    3.7;    2.3;  20.9;   1.6;   6;    0.000;   0;eor
     Erfurt;20141213;   3;    3.4;   7.4;   8.0;  971.65;   94.88;   4.1;    6.7;    1.1;    1.2;  13.2;  10.2;   8;    0.000;   0;eor
     Erfurt;20141214;   3;    1.1;   6.4;   7.8;  977.49;   96.96;   1.4;    2.2;   -0.9;   -0.9;   5.1;   0.9;   8;    0.000;   0;eor
     Erfurt;20141215;   3;    3.3;   6.9;   6.3;  975.76;   88.92;   4.2;    6.7;   -2.5;   -3.8;  12.6;   0.0;   6;    2.183;   0;eor
     Erfurt;20141216;   3;    4.2;   7.4;   7.1;  973.53;   89.67;   4.0;    6.4;    1.2;   -1.6;   8.0;   0.0;   6;    0.400;   0;eor
     Erfurt;20141217;   3;    2.4;   6.5;   6.7;  970.25;   88.75;   6.0;    5.2;    0.1;   -2.6;  13.0;   0.1;   6;    0.000;   0;eor
     Erfurt;20141218;   3;    8.9;  10.2;   7.6;  972.59;   89.17;   7.8;   12.4;    5.2;    4.7;  20.6;   0.2;   6;    0.100;   0;eor
     Erfurt;20141219;   3;    9.0;   9.6;   6.8;  973.44;   83.25;  10.5;   11.7;    3.4;    1.7;  19.3;   1.8;   6;    0.000;   0;eor
     Erfurt;20141220;   3;    3.8;   6.6;   5.5;  978.80;   81.88;  10.2;    4.8;    2.1;    0.8;  20.8;   2.6;   8;    0.000;   0;eor
     Erfurt;20141221;   3;    4.1;   6.9;   6.8;  986.45;   84.79;   8.1;    6.1;    2.1;    0.3;  18.5;   0.0;   6;    0.067;   0;eor
     Erfurt;20141222;   3;    7.3;   8.5;   8.0;  978.85;   82.88;  12.5;    9.2;    6.0;    5.4;  22.3;   0.0;   6;    0.000;   0;eor
     Erfurt;20141223;   3;    9.0;   9.1;   7.4;  978.67;   78.79;  11.1;    9.7;    8.0;    7.6;  20.6;   0.0;   6;    0.000;   0;eor
     Erfurt;20141224;   3;    6.6;   7.9;   7.7;  976.70;   80.63;   9.5;    8.2;    3.8;    2.6;  18.3;   1.9;   6;    0.017;   0;eor
     Erfurt;20141225;   3;    2.9;   6.2;   4.9;  981.37;   82.96;   7.3;    5.3;    1.0;   -0.6;  17.0;   0.7;   8;    3.983;   0;eor
     Erfurt;20141226;   3;   -0.3;   5.2;   4.1;  986.81;   86.75;   3.4;    2.0;   -4.6;   -7.7;   8.3;   0.0;   7;    4.900;   0;eor
     Erfurt;20141227;   3;   -2.7;   3.9;   6.9;  969.69;   79.25;   4.9;   -1.0;   -5.2;   -5.5;  11.9;   0.0;   0;    0.000;   0;eor
