STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Hof;19470101;   5;   -5.6;   3.6;   8.0;  947.90;   92.00;-999;   -4.6;   -8.4;   -999;-999;   0.6;   7;    0.000;   7;eor
Hof;19470102;   5;   -3.7;   4.3;   8.0;  951.80;   91.00;-999;   -2.3;   -5.4;   -999;-999;   0.3;   7;    0.000;   8;eor
Hof;19470103;   5;   -5.2;   3.7;   7.3;  957.80;   89.00;-999;   -3.0;   -7.1;   -999;-999;   0.0;   0;    0.000;   8;eor
Hof;19470104;   5;  -12.5;   2.0;   0.0;  960.40;   79.00;-999;   -6.0;  -16.5;   -999;-999;   0.0;   0;    7.100;   8;eor
Hof;19470105;   5;  -17.2;   1.2;   0.0;  954.60;   75.00;-999;  -11.8;  -21.1;   -999;-999;   0.0;   0;    7.200;   8;eor
Hof;19470106;   5;  -18.0;   1.2;   0.0;  948.30;   76.00;-999;  -11.1;  -21.6;   -999;-999;   0.0;   0;    7.200;   8;eor
Hof;19470107;   5;  -19.6;   1.1;   0.3;  944.70;   78.00;-999;  -14.1;  -24.7;   -999;-999;   0.0;   0;    7.200;   8;eor
Hof;19470108;   5;  -12.4;   2.0;   8.0;  947.20;   83.00;-999;  -10.5;  -21.6;   -999;-999;   0.0;   7;    0.000;   8;eor
Hof;19470109;   5;   -3.2;   4.4;   8.0;  945.20;   94.00;-999;   -1.0;  -10.6;   -999;-999;   0.3;   7;    0.000;   8;eor
Hof;19470110;   5;   -1.0;   5.5;   7.3;  946.30;   97.00;-999;   -0.1;   -2.7;   -999;-999;   0.5;   7;    0.000;   9;eor
Hof;19470111;   5;   -1.2;   5.3;   8.0;  942.20;   95.00;-999;   -0.4;   -2.4;   -999;-999;   3.9;   8;    0.000;  10;eor
Hof;19470112;   5;    1.6;   6.4;   7.7;  935.90;   92.00;-999;    3.0;   -1.4;   -999;-999;   1.2;   8;    0.500;  12;eor
Hof;19470113;   5;    2.0;   6.7;   7.7;  937.50;   95.00;-999;    4.3;   -1.2;   -999;-999;   5.7;   1;    0.000;   6;eor
Hof;19470114;   5;    1.0;   6.0;   8.0;  946.70;   92.00;-999;    2.2;    0.4;   -999;-999;   3.5;   1;    0.300;   3;eor
Hof;19470115;   5;    3.8;   7.7;   5.3;  955.40;   96.00;-999;    5.4;    0.4;   -999;-999;   0.2;   1;    0.000;   0;eor
Hof;19470116;   5;    0.8;   6.4;   1.0;  958.60;   92.00;-999;    5.6;   -2.0;   -999;-999;   0.0;   0;    7.500;   0;eor
Hof;19470117;   5;    1.8;   5.9;   4.7;  954.30;   85.00;-999;    6.5;   -3.5;   -999;-999;   0.3;   1;    4.800;   0;eor
Hof;19470118;   5;    0.7;   5.9;   6.7;  958.00;   91.00;-999;    2.0;    0.5;   -999;-999;   0.7;   7;    3.500;   0;eor
