STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Kempten;19520101;   5;    2.6;   6.1;   5.3;  930.60;   77.00;-999;    6.5;    0.1;    0.4;-999;   3.7;   8;    0.000;   0;eor
Kempten;19520102;   5;    1.0;   5.3;   7.0;  931.00;   81.00;-999;    5.0;   -1.0;   -2.1;-999;   0.1;   8;    0.600;   0;eor
Kempten;19520103;   5;    1.0;   5.2;   7.3;  927.40;   77.00;-999;    4.6;   -0.3;   -2.1;-999;   3.9;   7;    0.000;   0;eor
Kempten;19520104;   5;   -1.6;   4.5;   7.7;  937.80;   84.00;-999;    0.1;   -2.4;   -3.1;-999;   3.3;   7;    0.000;   7;eor
Kempten;19520105;   5;   -1.2;   4.5;   7.7;  939.20;   82.00;-999;    0.7;   -5.2;  -10.5;-999;   1.9;   8;    0.000;  11;eor
Kempten;19520106;   5;   -4.3;   4.7;   3.3;  951.80;   89.00;-999;    1.9;   -9.1;   -1.6;-999;   0.0;   0;    3.000;  10;eor
Kempten;19520107;   5;   -5.5;   3.2;   1.0;  955.10;   80.00;-999;    0.5;  -12.0;  -15.5;-999;   0.0;   0;    7.600;   8;eor
Kempten;19520108;   5;   -2.3;   4.1;   0.0;  948.20;   81.00;-999;    5.0;   -9.5;  -12.7;-999;   0.0;   0;    7.600;   8;eor
Kempten;19520109;   5;    2.8;   5.9;   3.3;  937.50;   76.00;-999;    8.1;   -4.6;   -8.0;-999;   2.0;   8;    7.400;   7;eor
Kempten;19520110;   5;    2.1;   4.9;   7.7;  926.40;   70.00;-999;    3.8;   -0.5;   -2.6;-999;  15.3;   8;    0.000;   5;eor
Kempten;19520111;   5;    4.2;   7.3;   8.0;  912.20;   87.00;-999;    7.0;    0.6;    0.5;-999;  27.9;   8;    0.500;   0;eor
Kempten;19520112;   5;   -1.7;   4.3;   4.0;  917.80;   76.00;-999;    3.5;   -3.5;   -1.7;-999;   2.3;   7;    5.900;   3;eor
Kempten;19520113;   5;   -2.5;   4.3;   5.3;  935.50;   82.00;-999;   -0.1;   -3.6;   -8.1;-999;   0.0;   1;    3.000;   6;eor
Kempten;19520114;   5;   -0.6;   4.1;   8.0;  941.00;   71.00;-999;    0.8;   -8.0;  -11.4;-999;   0.0;   1;    0.000;   4;eor
Kempten;19520115;   5;    3.0;   5.3;   5.7;  942.00;   70.00;-999;    4.4;    0.5;   -0.4;-999;   0.0;   1;    7.600;   4;eor
Kempten;19520116;   5;    4.0;   6.5;   7.7;  935.90;   81.00;-999;    5.2;    3.0;   -0.5;-999;   0.0;   1;    0.000;   0;eor
Kempten;19520117;   5;    3.0;   6.1;   7.0;  923.50;   81.00;-999;    5.7;    1.0;   -1.1;-999;   5.6;   8;    5.100;   0;eor
Kempten;19520118;   5;   -2.7;   4.3;   7.7;  918.00;   85.00;-999;    2.6;   -3.4;   -6.6;-999;   9.0;   7;    0.200;   8;eor
Kempten;19520119;   5;   -2.6;   4.4;   8.0;  924.30;   86.00;-999;   -1.6;   -3.6;   -4.5;-999;   6.0;   7;    0.000;  26;eor
Kempten;19520120;   5;   -6.2;   3.6;   7.7;  929.80;   88.00;-999;   -2.4;   -9.2;   -5.7;-999;   0.8;   7;    1.300;  35;eor
Kempten;19520121;   5;   -8.6;   2.7;   6.0;  934.40;   82.00;-999;   -3.7;  -13.6;  -16.8;-999;   0.7;   7;    1.800;  30;eor
Kempten;19520122;   5;   -9.1;   2.7;   2.7;  937.20;   83.00;-999;   -3.8;  -15.4;  -16.2;-999;   0.0;   0;    5.600;  25;eor
Kempten;19520123;   5;  -13.2;   2.0;   3.3;  931.60;   82.00;-999;   -3.3;  -17.7;  -15.3;-999;   0.0;   0;    7.600;  22;eor
Kempten;19520124;   5;  -12.8;   2.0;   5.7;  919.40;   80.00;-999;   -4.9;  -20.2;  -22.0;-999;   0.0;   0;    5.600;  21;eor
Kempten;19520125;   5;   -5.8;   3.3;   8.0;  914.30;   86.00;-999;   -2.8;  -15.7;  -19.6;-999;   0.6;   7;    3.900;  19;eor
Kempten;19520126;   5;   -7.6;   3.2;   5.0;  919.90;   84.00;-999;   -2.8;  -10.9;   -5.6;-999;   0.1;   7;    3.800;  22;eor
