STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     Koeln_Bonn;20141130;   3;    3.2;   6.8;   7.9; 1000.98;   87.79;   3.6;    3.6;    2.7;    2.6;   7.3;   0.0;   6;    0.000;   0;eor
     Koeln_Bonn;20141201;   3;    3.3;   6.3;   8.0;  999.18;   81.21;   2.8;    4.2;    2.1;    2.0;   7.5;   0.0;   6;    0.000;   0;eor
     Koeln_Bonn;20141202;   3;    2.4;   6.1;   8.0; 1001.65;   84.71;   1.6;    3.5;    1.3;    1.2;   4.1;   0.1;   6;    0.000;   0;eor
     Koeln_Bonn;20141203;   3;    1.2;   5.6;   7.4; 1007.38;   83.83;   2.6;    2.5;   -0.1;   -1.9;   5.4;   0.0;   6;    0.000;   0;eor
     Koeln_Bonn;20141204;   3;    2.3;   6.1;   7.8; 1004.83;   84.96;   1.7;    3.1;    0.9;    0.9;   4.6;   0.0;   6;    0.000;   0;eor
     Koeln_Bonn;20141205;   3;    3.9;   6.9;   7.8; 1006.61;   85.08;   1.6;    5.4;    2.5;    2.4;   3.9;   0.0;   6;    0.000;   0;eor
     Koeln_Bonn;20141206;   3;    4.7;   7.7;   7.9; 1011.29;   90.67;   1.2;    5.6;    2.7;    0.7;   4.6;   0.0;   6;    0.000;   0;eor
     Koeln_Bonn;20141207;   3;    4.0;   7.2;   7.1; 1008.78;   88.71;   2.6;    6.6;    1.7;    0.7;   7.6;   3.9;   6;    3.783;   0;eor
     Koeln_Bonn;20141208;   3;    2.8;   6.5;   4.8; 1006.82;   87.08;   2.7;    6.6;   -0.3;   -2.0;   6.5;   5.5;   8;    4.650;   0;eor
     Koeln_Bonn;20141209;   3;    2.6;   6.9;   7.3; 1014.27;   93.67;   2.0;    4.2;    1.0;   -0.2;   6.6;   0.6;   6;    0.000;   0;eor
     Koeln_Bonn;20141210;   3;    4.6;   6.9;   6.0; 1006.38;   81.33;   4.3;    7.5;    2.5;    0.6;  11.8;   2.9;   6;    0.000;   0;eor
     Koeln_Bonn;20141211;   3;    5.4;   7.2;   6.7;  999.19;   80.08;   4.8;    8.4;    1.6;    0.3;  16.1;   2.5;   6;    0.317;   0;eor
     Koeln_Bonn;20141212;   3;    8.5;   8.8;   7.8;  990.85;   79.33;   6.2;   11.0;    5.6;    5.0;  16.3;   7.0;   6;    0.000;   0;eor
     Koeln_Bonn;20141213;   3;    3.6;   7.5;   8.0;  999.02;   94.25;   1.9;    6.1;    1.6;    1.5;   5.4;   7.7;   6;    0.000;   0;eor
     Koeln_Bonn;20141214;   3;    1.5;   6.4;   4.4; 1004.75;   93.79;   1.9;    5.4;   -1.5;   -4.1;   5.8;   0.0;   0;    2.117;   0;eor
     Koeln_Bonn;20141215;   3;    3.0;   6.6;   6.7; 1002.74;   86.08;   3.3;    5.4;   -1.0;   -3.1;   7.3;   0.6;   6;    0.000;   0;eor
     Koeln_Bonn;20141216;   3;    5.0;   7.8;   7.1; 1001.47;   89.83;   2.3;    6.9;    1.9;   -1.2;   8.2;   0.8;   6;    0.100;   0;eor
     Koeln_Bonn;20141217;   3;    5.9;   8.9;   7.8;  996.89;   93.79;   3.0;    9.8;    2.4;    0.7;   8.5;   7.7;   6;    0.000;   0;eor
     Koeln_Bonn;20141218;   3;   11.3;  12.0;   8.0; 1000.38;   90.08;   3.8;   13.7;    9.4;    8.9;  12.7;   1.0;   6;    0.000;   0;eor
     Koeln_Bonn;20141219;   3;    9.6;  10.1;   5.8; 1002.80;   83.08;   5.2;   12.9;    4.5;    1.4;  14.2;   9.2;   6;    0.000;   0;eor
     Koeln_Bonn;20141220;   3;    5.6;   7.3;   4.6; 1010.46;   80.38;   5.1;    7.5;    3.2;    1.2;  18.3;   0.8;   6;    0.000;   0;eor
     Koeln_Bonn;20141221;   3;    6.6;   8.0;   7.0; 1016.16;   82.17;   3.7;    8.6;    3.3;    1.4;  13.1;   0.4;   6;    0.000;   0;eor
     Koeln_Bonn;20141222;   3;   10.1;   9.6;   7.7; 1009.25;   77.50;   5.5;   12.1;    8.3;    7.3;  14.7;   0.0;   6;    0.000;   0;eor
     Koeln_Bonn;20141223;   3;   11.0;   9.7;   7.6; 1008.21;   73.17;   5.8;   12.0;    9.5;    8.8;  14.9;   0.0;   6;    0.017;   0;eor
     Koeln_Bonn;20141224;   3;    8.3;   8.7;   7.8; 1005.73;   80.25;   5.1;    9.7;    4.7;    3.2;  12.4;   5.5;   6;    0.000;   0;eor
     Koeln_Bonn;20141225;   3;    4.0;   7.0;   6.0; 1012.43;   86.71;   3.6;    6.7;    0.7;   -2.4;  14.1;   4.0;   8;    0.050;   0;eor
     Koeln_Bonn;20141226;   3;    2.6;   6.9;   7.2; 1015.37;   94.25;   1.8;    3.9;    0.7;   -0.4;   6.2;   2.2;   8;    0.000;   0;eor
     Koeln_Bonn;20141227;   3;    0.7;   5.7;   8.0;  990.25;   88.50;   6.7;    2.7;   -1.3;   -2.5;  16.1;   5.1;   8;    0.000;   0;eor
     Koeln_Bonn;20141228;   3;   -4.2;   3.5;   1.7; 1011.43;   77.92;   2.9;   -1.3;   -7.8;  -10.9;   7.0;   4.2;   7;    6.483;   2;eor
     Koeln_Bonn;20141229;   3;   -0.5;   5.4;   7.5; 1021.09;   90.96;   2.6;    2.5;   -4.0;   -4.2;   9.3;   1.9;   8;    0.317;   6;eor
     Koeln_Bonn;20141230;   3;    1.7;   6.3;   7.4; 1023.38;   91.88;   1.5;    3.3;   -0.7;   -1.6;   5.3;   0.2;   6;    0.067;   4;eor
     Koeln_Bonn;20141231;   3;    3.1;   7.4;   7.3; 1023.09;   96.71;   1.2;    4.7;   -1.4;   -2.7;   3.8;   0.7;   6;    0.000;   0;eor
     Koeln_Bonn;20150101;   3;    1.0;   6.0;   6.5; 1022.60;   91.88;   2.7;    5.0;   -0.9;   -2.6;   8.6;   4.0;   6;    5.950;   0;eor
     Koeln_Bonn;20150102;   3;    4.6;   6.9;   6.0; 1016.20;   80.33;   4.4;    8.7;    0.9;    0.2;  10.4;   4.9;   6;    0.200;   0;eor
     Koeln_Bonn;20150103;   3;    2.1;   6.3;   7.7; 1012.80;   89.42;   2.8;    3.9;    0.1;   -0.4;   6.9;   9.9;   8;    0.000;   0;eor
     Koeln_Bonn;20150104;   3;    2.6;   6.7;   4.3; 1020.43;   91.58;   2.3;    6.1;   -0.9;   -4.2;   9.4;   0.0;   0;    5.117;   0;eor
     Koeln_Bonn;20150105;   3;    1.0;   5.5;   4.2; 1020.84;   84.25;   1.5;    5.4;   -1.7;   -3.9;   3.9;   0.0;   0;    6.267;   0;eor
     Koeln_Bonn;20150106;   3;    0.9;   5.2;   5.3; 1012.09;   80.83;   2.9;    3.9;   -2.3;   -5.2;   7.3;   1.6;   6;    1.983;   0;eor
     Koeln_Bonn;20150107;   3;    3.6;   6.9;   6.9; 1015.96;   87.42;   2.8;    7.8;   -0.5;   -1.9;   6.5;   1.9;   6;    2.733;   0;eor
     Koeln_Bonn;20150108;   3;    5.6;   8.4;   8.0; 1011.65;   91.54;   4.4;    8.8;    1.7;    1.3;  15.2;  15.3;   6;    0.000;   0;eor
     Koeln_Bonn;20150109;   3;    8.8;   9.3;   7.3; 1008.72;   80.88;   5.5;   14.6;    3.2;    1.5;  19.3;   7.7;   6;    0.000;   0;eor
     Koeln_Bonn;20150110;   3;   11.5;  10.5;   6.8; 1001.65;   75.33;   7.2;   14.7;    3.0;    1.4;  26.8;   1.9;   6;    0.033;   0;eor
     Koeln_Bonn;20150111;   3;    4.5;   6.2;   6.1; 1007.33;   73.67;   6.0;    6.3;    2.2;    0.4;  16.7;   0.1;   8;    0.417;   0;eor
     Koeln_Bonn;20150112;   3;    7.5;   7.8;   8.0; 1006.36;   74.63;   6.4;    9.3;    6.0;    5.0;  14.3;   0.1;   6;    0.000;   0;eor
     Koeln_Bonn;20150113;   3;    9.6;   8.5;   6.9;  997.24;   71.58;   5.9;   12.3;    5.3;    3.1;  15.5;   3.7;   6;    2.450;   0;eor
     Koeln_Bonn;20150114;   3;    3.7;   6.7;   4.9;  999.13;   83.38;   4.2;    7.9;    0.6;   -1.4;  20.2;   1.3;   6;    0.767;   0;eor
     Koeln_Bonn;20150115;   3;    8.6;   8.0;   7.4;  991.59;   71.96;   6.5;   11.7;    3.1;    2.2;  16.4;   0.4;   6;    0.000;   0;eor
     Koeln_Bonn;20150116;   3;    6.1;   7.4;   7.3;  994.76;   79.04;   2.1;    8.1;    2.5;   -0.5;   9.5;   0.0;   6;    0.150;   0;eor
