STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Mannheim;20141209;   3;    2.1;   6.7;   6.5; 1015.40;   94.75;   1.4;    3.9;   -1.0;   -3.2;   4.9;   0.0;   4;    0.233;   0;eor
Mannheim;20141210;   3;    2.1;   6.6;   6.8; 1011.07;   93.04;   4.9;    4.4;   -0.8;   -3.1;  12.5;   0.8;   4;    0.000;   0;eor
Mannheim;20141211;   3;    5.8;   8.3;   7.9; 1003.44;   90.46;   4.8;    7.3;    4.1;    3.2;  16.2;   4.8;   4;    0.000;   0;eor
Mannheim;20141212;   3;    8.6;   8.7;   7.9;  996.65;   77.83;   7.1;   11.8;    7.0;    5.4;  15.2;   0.3;   4;    0.017;   0;eor
Mannheim;20141213;   3;    9.5;   9.6;   7.8;  998.60;   81.17;   3.8;   12.0;    7.5;    6.3;  15.2;   5.4;   4;    0.000;   0;eor
Mannheim;20141214;   3;    5.6;   8.7;   7.9; 1004.47;   95.58;   1.9;    8.6;    4.3;    4.1;   5.3;   2.3;   4;    0.000;   0;eor
Mannheim;20141215;   3;    7.0;   8.5;   7.1; 1004.60;   85.29;   2.5;    9.8;    3.9;    0.6;   7.2;   6.2;   4;    4.050;   0;eor
Mannheim;20141216;   3;    5.9;   8.7;   6.6; 1002.43;   93.38;   2.8;    7.9;    0.2;   -2.2;   5.8;   0.5;   4;    0.017;   0;eor
Mannheim;20141217;   3;    4.0;   7.8;   7.5; 1000.41;   94.88;   4.7;    7.0;   -0.1;   -2.4;  12.9;   7.1;   4;    0.000;   0;eor
Mannheim;20141218;   3;   10.0;  11.4;   7.9; 1003.83;   92.25;   4.7;   13.7;    6.9;    6.5;  13.7;   0.1;   4;    0.000;   0;eor
Mannheim;20141219;   3;   10.6;  10.9;   7.8; 1006.22;   85.08;   5.5;   12.3;    6.4;    3.5;  15.6;  14.0;   4;    0.000;   0;eor
Mannheim;20141220;   3;    5.7;   7.5;   4.8; 1012.93;   81.46;   4.3;    7.7;    1.5;   -1.6;  15.5;   3.6;   4;    0.183;   0;eor
Mannheim;20141221;   3;    5.7;   7.7;   7.4; 1019.23;   84.58;   3.5;    7.9;    2.1;   -0.8;  10.1;   0.0;   4;    0.000;   0;eor
Mannheim;20141222;   3;    7.6;   8.1;   8.0; 1014.27;   77.83;   5.7;    8.5;    7.1;    6.0;  12.0;   0.0;   0;    0.100;   0;eor
Mannheim;20141223;   3;    7.5;   8.8;   7.4; 1012.17;   84.96;   4.7;    9.5;    0.3;   -2.2;  10.3;   0.0;   0;    0.067;   0;eor
Mannheim;20141224;   3;    6.7;   8.1;   6.9; 1009.55;   82.46;   4.8;   10.0;   -0.1;   -2.5;  11.8;   3.1;   4;    0.950;   0;eor
Mannheim;20141225;   3;    5.9;   7.2;   7.1; 1013.50;   76.92;   3.6;    8.4;    3.6;    1.0;  12.3;   0.4;   4;    1.483;   0;eor
Mannheim;20141226;   3;    2.1;   6.6;   6.9; 1016.23;   92.96;   1.7;    5.3;   -0.4;   -2.5;   6.5;   3.0;   4;    0.000;   0;eor
Mannheim;20141227;   3;    1.6;   6.3;   7.7;  991.24;   91.83;   5.2;    3.2;   -0.3;   -0.6;  14.1;   4.0;   4;    0.000;   0;eor
Mannheim;20141228;   3;   -2.9;   3.7;   3.6; 1007.46;   73.71;   4.5;   -0.2;   -7.3;   -9.4;  11.5;   0.5;   4;    5.183;   0;eor
Mannheim;20141229;   3;   -4.5;   4.2;   6.3; 1020.98;   94.33;   2.5;   -2.2;   -8.4;  -10.0;   6.7;   2.1;   4;    0.000;   1;eor
Mannheim;20141230;   3;   -0.9;   5.5;   7.9; 1023.65;   96.29;   2.3;    0.5;   -3.7;   -4.9;   4.9;   3.1;   4;    0.000;   4;eor
Mannheim;20141231;   3;    0.7;   6.1;   8.0; 1023.65;   95.08;   2.5;    1.4;    0.0;   -0.6;   5.1;   0.1;   4;    0.000;   5;eor
Mannheim;20150101;   3;    1.6;   6.5;   8.0; 1024.47;   94.46;   2.4;    3.0;    0.7;    0.0;   8.9;   0.0;   0;    0.000;   1;eor
Mannheim;20150102;   3;    1.5;   6.4;   5.8; 1020.13;   93.25;   4.7;    4.6;   -0.9;   -3.4;  10.9;   6.6;   4;    0.000;   0;eor
Mannheim;20150103;   3;    1.1;   6.5;   7.3; 1013.98;   98.58;   3.0;    2.8;   -1.0;   -3.5;   7.7;  22.1;   4;    0.000;   0;eor
Mannheim;20150104;   3;    2.2;   6.4;   7.0; 1020.58;   90.29;   2.1;    5.2;   -1.1;   -3.5;   8.6;   0.0;   4;    0.433;   0;eor
Mannheim;20150105;   3;    0.1;   5.7;   1.3; 1021.58;   93.13;   1.9;    4.4;   -3.5;   -6.6;   3.9;   0.0;   0;    7.133;   0;eor
Mannheim;20150106;   3;   -3.3;   4.7;   5.3; 1014.15;   98.25;   1.1;   -0.5;   -5.4;   -8.1;   4.2;   0.2;   4;    0.000;   0;eor
