STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     2712;20141130;   3;    2.8;   6.8;   7.9;  958.68;   90.58;   1.4;    3.7;    1.8;    2.0;   4.2;   1.0;   6;    0.000;   0;eor
     2712;20141201;   3;    3.1;   6.9;   7.9;  953.31;   90.17;   2.1;    4.0;    2.5;    2.2;   9.0;   0.1;   6;    0.000;   0;eor
     2712;20141202;   3;    3.7;   7.0;   7.9;  956.92;   87.67;   1.1;    5.0;    2.7;    2.6;   3.5;   0.7;   6;    0.000;   0;eor
     2712;20141203;   3;    3.6;   7.1;   8.0;  961.58;   89.08;   2.5;    4.7;    3.2;    2.8;   8.2;   1.7;   6;    0.000;   0;eor
     2712;20141204;   3;    3.8;   6.9;   8.0;  961.62;   86.58;   1.8;    4.6;    2.8;    2.6;   7.3;   0.0;   6;    0.000;   0;eor
     2712;20141205;   3;    3.4;   7.1;   8.0;  964.66;   90.96;   1.3;    4.2;    2.5;    2.3;   3.9;   0.0;   6;    0.000;   0;eor
     2712;20141206;   3;    3.4;   6.5;   7.8;  967.58;   84.13;   1.6;    4.8;    2.7;    2.2;   5.2;   0.5;   6;    0.000;   0;eor
     2712;20141207;   3;    3.7;   6.9;   7.9;  969.01;   86.63;   2.2;    4.6;    3.1;    2.4;   9.2;   1.3;   6;    0.000;   0;eor
     2712;20141208;   3;    3.4;   6.8;   6.6;  967.51;   86.71;   2.4;    4.6;    0.7;   -1.4;   7.7;   0.0;   6;    0.000;   0;eor
     2712;20141209;   3;    1.5;   6.1;   6.0;  972.71;   89.13;   1.4;    3.4;   -0.9;   -3.0;   3.7;   0.0;   6;    0.000;   0;eor
     2712;20141210;   3;    1.4;   5.6;   7.3;  972.33;   83.21;   2.4;    4.0;   -1.5;   -3.0;   7.8;   0.1;   8;    0.000;   0;eor
     2712;20141211;   3;    5.5;   6.8;   7.1;  966.82;   75.58;   5.2;    7.1;    3.8;    3.1;  19.4;   0.1;   6;    0.100;   0;eor
     2712;20141212;   3;    6.8;   5.9;   3.9;  961.23;   60.25;   3.5;    9.4;    4.0;    1.1;  11.4;   0.0;   0;    5.000;   0;eor
