STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Offenbach;20141209;   3;    1.7;   6.3;   6.8; 1012.55;   91.63;   1.5;    3.2;   -0.5;   -2.3;   5.3;   0.0;   0;    2.183;   0;eor
Offenbach;20141210;   3;    2.5;   6.6;   6.4; 1007.09;   90.88;   3.9;    4.2;   -0.1;   -1.9;  11.6;   1.8;   4;    0.000;   0;eor
Offenbach;20141211;   3;    5.3;   8.2;   6.1;  998.93;   91.92;   4.8;    6.7;    4.0;    2.8;  14.2;   6.6;   4;    0.000;   0;eor
Offenbach;20141212;   3;    8.8;   8.6;   6.9;  991.74;   76.54;   7.0;   10.9;    6.4;    5.3;  19.5;   5.1;   4;    0.000;   0;eor
Offenbach;20141213;   3;    5.1;   8.4;   7.0;  996.13;   95.00;   2.0;    9.1;    2.9;    2.8;   7.2;  11.3;   4;    0.000;   0;eor
Offenbach;20141214;   3;    3.6;   7.5;   7.2; 1002.03;   95.00;   1.4;    4.7;    2.6;    2.5;   5.1;   1.2;   4;    0.000;   0;eor
Offenbach;20141215;   3;    5.3;   8.1;   6.8; 1001.49;   91.29;   2.5;    6.8;    3.2;    1.2;  10.1;   2.0;   4;    0.367;   0;eor
Offenbach;20141216;   3;    5.3;   8.6;   6.3;  999.22;   95.58;   2.0;    7.5;    0.6;   -2.1;   7.8;   1.0;   4;    0.000;   0;eor
Offenbach;20141217;   3;    3.8;   7.7;   6.2;  996.48;   94.67;   3.6;    7.2;    0.0;   -2.6;  11.6;   3.5;   4;    0.000;   0;eor
Offenbach;20141218;   3;   10.1;  11.5;   7.1;  999.57;   92.63;   4.6;   13.5;    7.2;    6.6;  14.9;   0.7;   4;    0.000;   0;eor
Offenbach;20141219;   3;   10.2;  10.3;   6.5; 1001.65;   81.75;   5.8;   12.2;    5.2;    1.6;  17.0;   7.4;   4;    0.000;   0;eor
Offenbach;20141220;   3;    5.3;   7.3;   5.0; 1008.46;   82.04;   4.5;    7.1;    3.2;    0.8;  14.4;   0.7;   4;    0.300;   0;eor
