STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Rostock;19470101;   5;   -2.1;   4.1;  -999; 1019.30;   78.00;-999;   -1.5;   -3.3;   -5.8;-999;  -999;-999;     -999;-999;eor
Rostock;19470102;   5;   -2.7;   4.1;  -999; 1022.40;   83.00;-999;   -2.0;   -3.3;   -4.5;-999;  -999;-999;     -999;-999;eor
Rostock;19470103;   5;   -4.8;   3.6;  -999; 1032.40;   80.00;-999;   -2.4;   -6.2;   -4.5;-999;  -999;-999;     -999;-999;eor
Rostock;19470104;   5;   -9.2;   2.3;  -999; 1037.50;   73.00;-999;   -6.1;  -11.8;  -12.8;-999;  -999;-999;     -999;-999;eor
Rostock;19470105;   5;  -12.9;   1.9;  -999; 1031.90;   79.00;-999;   -9.4;  -14.0;  -16.0;-999;  -999;-999;     -999;-999;eor
Rostock;19470106;   5;  -13.4;   1.6;  -999; 1027.40;   73.00;-999;  -10.6;  -16.6;  -18.4;-999;  -999;-999;     -999;-999;eor
Rostock;19470107;   5;  -13.3;   1.7;  -999; 1021.80;   77.00;-999;  -10.3;  -15.6;  -18.3;-999;  -999;-999;     -999;-999;eor
Rostock;19470108;   5;  -12.9;   1.9;  -999; 1023.10;   82.00;-999;   -9.8;  -15.3;  -19.0;-999;  -999;-999;     -999;-999;eor
Rostock;19470109;   5;   -9.9;   2.4;  -999; 1017.50;   84.00;-999;   -8.7;  -13.7;  -19.0;-999;  -999;-999;     -999;-999;eor
Rostock;19470110;   5;   -9.1;   2.8;  -999; 1019.10;   88.00;-999;   -6.2;  -10.7;  -16.9;-999;  -999;-999;     -999;-999;eor
Rostock;19470111;   5;  -10.8;   2.4;  -999; 1015.10;   86.00;-999;   -6.8;  -14.4;  -19.0;-999;  -999;-999;     -999;-999;eor
Rostock;19470112;   5;   -9.3;   2.7;  -999; 1001.10;   88.00;-999;   -8.2;  -13.0;  -17.0;-999;  -999;-999;     -999;-999;eor
Rostock;19470113;   5;   -1.1;   5.1;  -999;  997.90;   93.00;-999;    2.5;  -11.1;  -16.5;-999;  -999;-999;     -999;-999;eor
Rostock;19470114;   5;    2.6;   6.4;  -999; 1004.80;   87.00;-999;    3.5;    1.5;  -10.5;-999;  -999;-999;     -999;-999;eor
Rostock;19470115;   5;    6.1;   8.8;  -999; 1013.40;   93.00;-999;    7.7;    2.0;   -1.2;-999;  -999;-999;     -999;-999;eor
Rostock;19470116;   5;    5.5;   7.1;  -999; 1018.80;   85.00;-999;    8.7;    2.6;    0.6;-999;  -999;-999;     -999;-999;eor
Rostock;19470117;   5;    4.6;   7.2;  -999; 1013.60;   83.00;-999;    6.4;    3.2;    0.1;-999;  -999;-999;     -999;-999;eor
Rostock;19470118;   5;    2.8;   6.9;  -999; 1016.80;   91.00;-999;    4.5;    2.1;    0.8;-999;  -999;-999;     -999;-999;eor
Rostock;19470119;   5;    0.3;   5.9;  -999; 1019.80;   92.00;-999;    4.0;   -0.2;   -0.6;-999;  -999;-999;     -999;-999;eor
Rostock;19470120;   5;   -0.2;   5.3;  -999; 1018.40;   88.00;-999;    1.0;   -0.7;   -1.5;-999;  -999;-999;     -999;-999;eor
Rostock;19470121;   5;   -1.3;   5.2;  -999; 1018.60;   92.00;-999;   -0.1;   -1.7;   -2.6;-999;  -999;-999;     -999;-999;eor
Rostock;19470122;   5;   -2.3;   4.7;  -999; 1019.90;   92.00;-999;   -1.5;   -3.2;   -4.0;-999;  -999;-999;     -999;-999;eor
Rostock;19470123;   5;   -2.1;   4.8;  -999; 1025.60;   92.00;-999;   -1.7;   -2.6;   -5.2;-999;  -999;-999;     -999;-999;eor
Rostock;19470124;   5;   -2.8;   4.5;  -999; 1027.20;   92.00;-999;   -1.7;   -3.6;   -3.8;-999;  -999;-999;     -999;-999;eor
Rostock;19470125;   5;   -3.3;   4.7;  -999; 1021.50;   96.00;-999;   -2.0;   -4.3;   -5.4;-999;  -999;-999;     -999;-999;eor
Rostock;19470126;   5;   -5.9;   3.2;  -999; 1019.80;   82.00;-999;   -4.2;   -7.1;   -7.5;-999;  -999;-999;     -999;-999;eor
Rostock;19470127;   5;   -4.4;   3.7;  -999; 1018.80;   84.00;-999;   -2.3;   -8.4;  -12.5;-999;  -999;-999;     -999;-999;eor
Rostock;19470128;   5;   -7.0;   3.1;  -999; 1021.80;   83.00;-999;   -3.0;   -8.0;  -11.5;-999;  -999;-999;     -999;-999;eor
Rostock;19470129;   5;   -6.0;   3.5;  -999; 1023.60;   86.00;-999;   -2.3;  -12.4;  -19.7;-999;  -999;-999;     -999;-999;eor
Rostock;19470130;   5;   -6.2;   3.5;  -999; 1021.00;   89.00;-999;   -2.7;   -8.7;  -16.5;-999;  -999;-999;     -999;-999;eor
Rostock;19470131;   5;   -7.4;   2.9;  -999; 1019.90;   81.00;-999;   -4.3;   -9.2;  -12.4;-999;  -999;-999;     -999;-999;eor
Rostock;19470201;   5;   -8.6;   2.4;  -999; 1019.60;   77.00;-999;   -6.2;  -11.3;  -13.9;-999;  -999;-999;     -999;-999;eor
Rostock;19470202;   5;   -8.9;   2.5;  -999; 1014.40;   84.00;-999;   -6.8;  -11.8;  -14.6;-999;  -999;-999;     -999;-999;eor
Rostock;19470203;   5;   -7.2;   3.1;  -999; 1005.10;   85.00;-999;   -5.5;  -10.1;  -14.6;-999;  -999;-999;     -999;-999;eor
Rostock;19470204;   5;   -3.1;   4.3;  -999; 1003.00;   88.00;-999;   -1.5;   -8.2;  -10.7;-999;  -999;-999;     -999;-999;eor
Rostock;19470205;   5;   -3.8;   3.9;  -999; 1008.70;   83.00;-999;   -1.9;   -4.8;   -6.1;-999;  -999;-999;     -999;-999;eor
Rostock;19470206;   5;   -6.0;   3.6;  -999; 1018.20;   92.00;-999;   -4.8;   -6.4;   -8.8;-999;  -999;-999;     -999;-999;eor
Rostock;19470207;   5;   -8.1;   2.8;  -999; 1020.70;   80.00;-999;   -4.4;  -10.4;  -14.0;-999;  -999;-999;     -999;-999;eor
Rostock;19470208;   5;  -10.4;   2.0;  -999; 1016.20;   71.00;-999;   -7.3;  -13.9;  -17.4;-999;  -999;-999;     -999;-999;eor
Rostock;19470209;   5;   -7.1;   2.9;  -999; 1016.60;   85.00;-999;   -5.0;  -11.4;  -13.7;-999;  -999;-999;     -999;-999;eor
Rostock;19470210;   5;   -7.9;   2.7;  -999; 1021.50;   80.00;-999;   -5.8;  -11.0;  -13.2;-999;  -999;-999;     -999;-999;eor
Rostock;19470211;   5;   -7.6;   2.7;  -999; 1020.70;   78.00;-999;   -4.5;  -10.5;  -13.0;-999;  -999;-999;     -999;-999;eor
Rostock;19470212;   5;   -8.1;   2.8;  -999; 1018.00;   83.00;-999;   -6.2;  -12.4;  -14.2;-999;  -999;-999;     -999;-999;eor
Rostock;19470213;   5;   -4.8;   3.6;  -999; 1018.00;   84.00;-999;   -3.0;   -8.0;   -9.4;-999;  -999;-999;     -999;-999;eor
Rostock;19470214;   5;   -3.6;   3.6;  -999; 1022.00;   76.00;-999;   -1.8;   -4.7;   -8.5;-999;  -999;-999;     -999;-999;eor
