STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      403;19500101;   5;   -3.2;   4.0;   5.0; 1025.60;   83.00;-999;   -1.1;   -4.9;   -6.3;-999;   2.2;   7;     -999;   0;eor
      403;19500102;   5;    1.0;   6.1;   8.0; 1005.60;   95.00;-999;    2.2;   -3.7;   -5.3;-999;  12.6;   8;     -999;   0;eor
      403;19500103;   5;    2.8;   6.5;   5.0;  996.60;   86.00;-999;    3.9;    1.7;   -1.4;-999;   0.5;   1;     -999;   0;eor
      403;19500104;   5;   -0.1;   5.2;   7.7;  999.50;   85.00;-999;    2.1;   -0.9;   -2.3;-999;   0.5;   7;     -999;   0;eor
      403;19500105;   5;   -2.8;   4.0;   8.0; 1001.10;   79.00;-999;   -0.9;   -3.3;   -5.2;-999;  10.3;   7;     -999;   0;eor
      403;19500106;   5;    2.6;   5.6;   7.3;  997.50;   79.00;-999;    5.0;   -4.0;   -4.0;-999;   7.2;   8;     -999;  12;eor
      403;19500107;   5;    5.7;   8.0;   8.0; 1005.10;   89.00;-999;    6.4;    2.5;    1.1;-999;   0.4;   1;     -999;   0;eor
      403;19500108;   5;    7.0;   9.7;   7.0; 1011.90;   93.00;-999;    8.7;    5.8;    2.2;-999;   0.0;   1;     -999;   0;eor
      403;19500109;   5;    5.8;   7.7;   7.7; 1009.10;   85.00;-999;    6.9;    4.5;    2.6;-999;   3.7;   8;     -999;   0;eor
      403;19500110;   5;   -2.4;   4.8;   8.0; 1021.50;   88.00;-999;    6.0;   -4.5;   -0.4;-999;   4.5;   8;     -999;   0;eor
      403;19500111;   5;   -7.2;   3.1;   7.0; 1025.20;   82.00;-999;   -4.4;   -8.7;   -5.7;-999;   0.6;   1;     -999;   2;eor
      403;19500112;   5;    0.6;   5.1;   8.0; 1019.40;   82.00;-999;    4.9;   -8.7;  -10.8;-999;   7.1;   1;     -999;   0;eor
      403;19500113;   5;    2.5;   6.5;   7.0; 1020.20;   89.00;-999;    5.0;    1.9;    1.0;-999;   0.0;   0;     -999;   0;eor
      403;19500114;   5;    5.4;   7.5;   7.7; 1014.20;   84.00;-999;    6.3;    2.0;   -0.1;-999;   0.0;   0;     -999;   0;eor
      403;19500115;   5;    5.8;   8.0;   8.0; 1010.80;   87.00;-999;    7.9;    4.6;    2.5;-999;   3.8;   1;     -999;   0;eor
      403;19500116;   5;    4.6;   7.6;   4.7; 1000.80;   85.00;-999;    7.9;    1.9;    3.4;-999;   0.0;   0;     -999;   0;eor
