STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      Bremen;20141209;   3;    2.6;   6.6;   7.3; 1023.58;   89.17;   4.1;    3.8;    1.2;   -0.3;  11.7;   0.5;   6;    0.000;   0;eor
      Bremen;20141210;   3;    4.7;   7.0;   4.8; 1011.40;   81.88;   7.5;    7.4;    3.3;    1.4;  17.3;   1.7;   6;    2.250;   0;eor
      Bremen;20141211;   3;    3.8;   6.9;   6.0; 1003.24;   85.67;   7.3;    5.8;    1.4;    0.4;  21.1;  11.4;   8;    0.600;   0;eor
      Bremen;20141212;   3;    6.5;   8.6;   7.0;  995.04;   89.13;   7.9;    9.1;    3.7;    2.6;  20.7;   8.3;   6;    0.000;   0;eor
      Bremen;20141213;   3;    3.2;   6.8;   4.6; 1006.88;   88.13;   4.6;    5.7;   -0.4;   -3.1;   9.6;   0.0;   6;    0.000;   0;eor
      Bremen;20141214;   3;    2.9;   6.7;   5.0; 1013.70;   88.21;   4.4;    4.8;    1.1;    0.0;  10.3;   0.0;   6;    3.133;   0;eor
      Bremen;20141215;   3;    4.1;   7.3;   7.1; 1009.45;   88.29;   6.0;    5.6;    1.3;    0.6;  12.7;   3.8;   6;    0.000;   0;eor
      Bremen;20141216;   3;    4.4;   7.6;   5.3; 1008.72;   90.38;   5.5;    6.8;    0.9;   -0.3;  13.2;   0.5;   6;    0.983;   0;eor
      Bremen;20141217;   3;    4.6;   8.1;   6.9; 1003.77;   94.17;   5.0;    8.9;    0.5;   -0.8;  11.3;   4.0;   6;    0.000;   0;eor
      Bremen;20141218;   3;   10.7;  12.2;   7.9; 1005.29;   94.42;   6.4;   12.1;    8.6;    7.8;  14.4;   9.2;   6;    0.000;   0;eor
      Bremen;20141219;   3;    9.1;  10.3;   6.0; 1006.45;   87.33;   8.0;   11.7;    5.2;    3.7;  15.3;   9.3;   6;    0.100;   0;eor
      Bremen;20141220;   3;    5.7;   7.4;   4.4; 1012.45;   80.38;   9.8;    7.8;    3.7;    2.5;  20.7;   6.4;   8;    0.267;   0;eor
      Bremen;20141221;   3;    6.1;   8.2;   5.9; 1020.28;   86.79;   7.5;    9.4;    3.5;    2.4;  17.7;   1.1;   6;    0.000;   0;eor
      Bremen;20141222;   3;   10.5;  11.8;   7.8; 1009.94;   92.17;  10.5;   11.7;    8.9;    8.1;  19.2;  16.7;   6;    0.000;   0;eor
      Bremen;20141223;   3;   10.1;  11.2;   7.8; 1010.88;   90.08;   9.4;   11.0;    9.5;    8.9;  17.8;   2.6;   6;    0.000;   0;eor
      Bremen;20141224;   3;    7.3;   9.0;   5.5; 1009.93;   87.08;   7.8;   10.1;    3.6;    2.3;  15.8;   1.8;   6;    0.350;   0;eor
      Bremen;20141225;   3;    4.6;   6.7;   6.2; 1017.66;   78.79;   7.7;    6.8;   -0.2;   -2.9;  18.5;   0.6;   6;    1.267;   0;eor
      Bremen;20141226;   3;   -0.5;   5.3;   5.2; 1025.71;   90.54;   2.2;    2.2;   -3.8;   -4.9;   7.0;   0.0;   0;    3.467;   0;eor
      Bremen;20141227;   3;   -0.8;   4.7;   6.5; 1009.78;   81.75;   5.8;    1.3;   -3.6;   -4.6;  13.2;   0.0;   0;    0.433;   0;eor
      Bremen;20141228;   3;   -1.8;   4.4;   3.2; 1024.43;   81.96;   3.8;    1.4;   -6.4;   -8.2;  10.8;   0.7;   7;    5.983;   0;eor
      Bremen;20141229;   3;    1.0;   5.9;   7.0; 1029.68;   89.25;   4.5;    3.1;   -1.8;   -2.7;  11.8;   0.7;   8;    0.850;   0;eor
      Bremen;20141230;   3;    3.8;   7.4;   7.1; 1031.04;   92.38;   3.8;    5.1;    1.3;    0.7;   8.2;   1.4;   6;    0.033;   0;eor
      Bremen;20141231;   3;    5.3;   8.6;   5.9; 1031.03;   96.13;   4.0;    7.4;    1.9;    0.0;   7.2;   0.2;   6;    0.000;   0;eor
      Bremen;20150101;   3;    3.1;   6.2;   5.7; 1028.94;   81.29;   5.4;    5.3;    0.9;   -0.9;  16.1;   2.1;   6;    3.933;   0;eor
      Bremen;20150102;   3;    6.4;   7.5;   5.6; 1019.00;   78.08;  10.5;    9.1;    4.6;    3.1;  20.6;   0.0;   6;    1.200;   0;eor
      Bremen;20150103;   3;    4.3;   6.7;   5.3; 1018.66;   81.00;   8.0;    5.5;    2.2;    0.9;  14.7;   1.2;   6;    0.017;   0;eor
      Bremen;20150104;   3;    3.5;   6.8;   3.7; 1026.85;   86.67;   5.4;    6.8;    0.5;   -2.4;  12.7;   0.2;   6;    5.300;   0;eor
      Bremen;20150105;   3;    2.6;   6.6;   6.5; 1029.22;   89.79;   4.0;    4.2;    0.5;   -0.6;   9.1;   0.0;   0;    0.000;   0;eor
      Bremen;20150106;   3;    2.7;   6.4;   7.8; 1022.34;   86.63;   2.9;    4.1;    1.0;   -1.0;   7.7;   0.5;   6;    0.000;   0;eor
      Bremen;20150107;   3;    4.3;   7.4;   6.1; 1023.13;   89.54;   4.9;    6.3;    2.3;    0.8;  11.7;   0.3;   6;    5.600;   0;eor
      Bremen;20150108;   3;    5.4;   8.2;   7.5; 1017.33;   90.29;   6.9;    7.2;    3.2;    2.4;  13.7;  11.3;   6;    0.000;   0;eor
      Bremen;20150109;   3;    7.7;   8.4;   7.1; 1010.79;   80.71;  10.8;   10.6;    5.4;    4.7;  23.7;   4.0;   6;    0.000;   0;eor
      Bremen;20150110;   3;    9.3;   9.8;   6.3; 1002.85;   80.46;  12.1;   12.8;    4.5;    3.2;  25.4;   4.1;   6;    0.000;   0;eor
      Bremen;20150111;   3;    4.6;   6.8;   5.3; 1009.03;   79.79;  10.7;    6.6;    2.3;    1.4;  21.9;   4.2;   8;    0.467;   0;eor
