STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      Cuxhaven;19460101;   5;   -2.8;   3.7;   6.3; 1028.70;   74.00;-999;   -1.5;   -3.6;   -999;-999;   0.0;   0;     -999;   0;eor
      Cuxhaven;19460102;   5;   -1.7;   4.8;   3.3; 1035.20;   86.00;-999;   -0.2;   -3.7;   -999;-999;   0.0;   0;     -999;   0;eor
      Cuxhaven;19460103;   5;   -3.0;   4.4;   5.0; 1036.70;   88.00;-999;   -1.3;   -4.5;   -999;-999;   0.0;   0;     -999;   0;eor
      Cuxhaven;19460104;   5;   -1.4;   4.1;   8.0; 1025.20;   77.00;-999;   -0.3;   -6.1;   -999;-999;   0.0;   1;     -999;   0;eor
      Cuxhaven;19460105;   5;    1.8;   6.3;   8.0; 1016.30;   91.00;-999;    2.4;   -0.2;   -999;-999;   0.1;   1;     -999;   0;eor
      Cuxhaven;19460106;   5;    2.2;   6.9;   8.0; 1019.00;   97.00;-999;    2.7;    1.7;   -999;-999;   2.8;   1;     -999;   0;eor
      Cuxhaven;19460107;   5;    2.0;   6.5;   8.0; 1019.60;   92.00;-999;    2.5;    1.4;   -999;-999;   0.0;   0;     -999;   0;eor
      Cuxhaven;19460108;   5;   -1.7;   4.9;   4.3; 1014.20;   91.00;-999;    2.0;   -2.9;   -999;-999;   0.5;   1;     -999;   0;eor
      Cuxhaven;19460109;   5;    3.6;   6.4;   6.7; 1007.00;   82.00;-999;    5.2;   -2.4;   -999;-999;   4.1;   1;     -999;   0;eor
      Cuxhaven;19460110;   5;    5.8;   8.4;   6.0;  994.40;   89.00;-999;    7.6;    4.1;   -999;-999;   1.0;   1;     -999;   0;eor
      Cuxhaven;19460111;   5;    9.0;  10.9;   8.0; 1000.60;   96.00;-999;   10.7;    4.0;   -999;-999;   9.6;   1;     -999;   0;eor
      Cuxhaven;19460112;   5;    5.6;   7.6;   6.3;  999.80;   80.00;-999;    9.8;    4.6;   -999;-999;   1.5;   1;     -999;   0;eor
      Cuxhaven;19460113;   5;   -1.3;   4.5;   6.0; 1021.10;   79.00;-999;    4.6;   -2.6;   -999;-999;   0.0;   0;     -999;   0;eor
      Cuxhaven;19460114;   5;   -1.0;   5.1;   2.0; 1037.90;   90.00;-999;   -0.4;   -2.8;   -999;-999;   0.0;   0;     -999;   0;eor
      Cuxhaven;19460115;   5;   -2.6;   4.8;   5.7; 1045.40;   93.00;-999;    0.0;   -3.4;   -999;-999;   0.0;   0;     -999;   0;eor
      Cuxhaven;19460116;   5;   -1.2;   5.1;   7.3; 1042.20;   92.00;-999;    0.2;   -3.8;   -999;-999;   0.0;   0;     -999;   0;eor
      Cuxhaven;19460117;   5;   -3.5;   4.0;   2.0; 1036.40;   86.00;-999;   -0.2;   -5.6;   -999;-999;   0.0;   0;     -999;   0;eor
