STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      891;20141130;   3;    0.0;   5.3;   8.0; 1015.73;   86.96;   8.5;    0.8;   -0.7;   -0.7;  14.4;   0.0;   6;    0.000;   0;eor
      891;20141201;   3;   -1.3;   4.8;   6.9; 1016.43;   86.13;   9.8;    0.9;   -3.2;   -3.1;  14.9;   0.0;   0;    0.500;   0;eor
      891;20141202;   3;   -2.9;   4.3;   8.0; 1017.10;   86.21;   4.7;   -2.0;   -3.4;   -3.2;  10.9;   0.0;   0;    0.000;   0;eor
      891;20141203;   3;   -0.5;   5.1;   8.0; 1022.44;   86.75;   4.5;    0.7;   -3.3;   -3.0;  10.1;   0.0;   6;    0.000;   0;eor
      891;20141204;   3;    1.2;   6.0;   8.0; 1018.72;   89.88;   6.2;    2.5;   -1.1;   -1.0;  10.9;   0.6;   6;    0.000;   0;eor
      891;20141205;   3;    2.5;   6.6;   7.8; 1015.10;   90.42;   3.2;    3.8;    1.2;    1.1;   8.4;   0.3;   6;    0.000;   0;eor
      891;20141206;   3;    5.0;   7.9;   4.7; 1019.42;   90.46;   3.5;    7.9;    3.0;    1.1;   7.9;   0.0;   6;    3.083;   0;eor
      891;20141207;   3;    3.8;   7.3;   6.5; 1013.01;   90.33;   5.8;    6.1;    0.5;   -0.4;  14.3;   5.5;   8;    0.000;   0;eor
      891;20141208;   3;    3.5;   6.8;   5.5; 1011.58;   86.88;   5.6;    5.1;    2.1;    0.9;  13.7;   0.1;   6;    2.100;   0;eor
      891;20141209;   3;    2.0;   6.8;   7.7; 1021.04;   96.08;   5.3;    3.9;    0.9;    0.7;  14.9;   2.6;   6;    0.000;   0;eor
      891;20141210;   3;    5.1;   7.2;   4.8; 1007.40;   81.75;   8.0;    6.9;    3.5;    2.7;  19.0;   1.2;   6;    2.333;   0;eor
      891;20141211;   3;    4.5;   7.0;   6.2;  999.16;   83.33;   7.6;    5.5;    3.1;    2.2;  16.5;   7.8;   8;    0.450;   0;eor
      891;20141212;   3;    6.0;   8.1;   7.4;  991.33;   86.04;   7.5;    8.6;    3.7;    2.6;  18.9;   8.0;   6;    0.000;   0;eor
      891;20141213;   3;    4.4;   7.2;   4.2; 1004.02;   85.75;   6.0;    5.8;    2.2;    0.5;  14.5;   2.0;   6;    2.567;   0;eor
      891;20141214;   3;    3.0;   6.5;   4.8; 1010.87;   86.38;   5.3;    4.3;    1.0;   -0.1;  13.2;   2.3;   6;    4.200;   0;eor
      891;20141215;   3;    4.6;   7.5;   7.6; 1006.26;   88.38;   6.3;    5.9;    3.0;    2.2;  13.3;   1.4;   6;    0.117;   0;eor
      891;20141216;   3;    4.9;   7.6;   5.2; 1005.81;   87.13;   6.0;    6.0;    3.4;    1.9;  15.6;   1.2;   6;    2.083;   0;eor
      891;20141217;   3;    4.8;   7.9;   7.3; 1001.12;   90.25;   5.5;    8.1;    3.0;    1.9;  11.1;   4.7;   6;    0.000;   0;eor
      891;20141218;   3;    9.8;  11.7;   7.9; 1002.19;   96.04;   6.9;   11.2;    7.6;    7.2;  17.8;  11.7;   6;    0.000;   0;eor
      891;20141219;   3;    8.4;   9.6;   5.9; 1003.05;   85.17;   8.5;   11.3;    4.8;    2.9;  22.2;   9.1;   8;    0.500;   0;eor
      891;20141220;   3;    6.5;   7.5;   5.4; 1008.21;   76.54;  11.0;    7.8;    4.0;    3.0;  24.4;   3.9;   8;    0.750;   0;eor
