STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Hannover;20141209;   3;    2.9;   6.2;   6.4; 1017.99;   82.54;   3.2;    4.8;    1.4;   -2.5;  11.1;   0.0;   6;    0.317;   0;eor
Hannover;20141210;   3;    4.5;   6.8;   5.8; 1007.24;   80.04;   6.8;    6.9;    2.3;    0.4;  17.5;   1.8;   6;    0.300;   0;eor
Hannover;20141211;   3;    4.5;   6.9;   5.2;  998.83;   81.58;   6.5;    6.2;    2.0;    0.4;  20.6;   7.4;   6;    0.183;   0;eor
Hannover;20141212;   3;    7.4;   8.5;   7.9;  990.95;   82.92;   7.8;    9.3;    5.1;    3.9;  19.2;   7.0;   6;    0.000;   0;eor
Hannover;20141213;   3;    5.0;   7.1;   7.3; 1001.51;   81.96;   3.9;    6.0;    3.2;    2.0;   9.8;   0.0;   6;    0.000;   0;eor
Hannover;20141214;   3;    2.8;   6.4;   4.6; 1008.43;   85.75;   3.0;    5.0;   -0.3;   -2.8;   7.9;   0.0;   0;    1.400;   0;eor
Hannover;20141215;   3;    3.9;   6.7;   7.2; 1004.76;   82.08;   5.0;    5.6;    0.4;   -1.8;  12.3;   2.2;   6;    0.000;   0;eor
Hannover;20141216;   3;    4.7;   7.3;   6.0; 1003.40;   85.79;   4.3;    6.7;    1.9;   -0.1;  11.3;   0.8;   6;    0.683;   0;eor
Hannover;20141217;   3;    4.7;   7.8;   6.4;  998.77;   89.63;   4.7;    9.0;    0.9;   -1.9;  11.3;   3.2;   6;    0.000;   0;eor
Hannover;20141218;   3;   10.9;  11.8;   7.8; 1000.47;   90.54;   5.5;   12.3;    8.9;    8.0;  14.7;   3.4;   6;    0.000;   0;eor
Hannover;20141219;   3;    9.3;  10.2;   6.3; 1001.45;   85.63;   7.4;   11.7;    5.7;    4.2;  15.6;   6.0;   6;    0.000;   0;eor
Hannover;20141220;   3;    5.5;   7.2;   6.1; 1007.19;   79.92;   8.3;    7.1;    3.4;    2.3;  21.3;   3.1;   6;    0.000;   0;eor
Hannover;20141221;   3;    6.1;   7.8;   6.9; 1015.15;   82.42;   7.0;    8.6;    3.7;    1.8;  18.0;   0.1;   6;    0.000;   0;eor
Hannover;20141222;   3;    9.7;  10.7;   8.0; 1005.45;   88.67;   9.5;   11.0;    8.5;    7.5;  22.3;   7.2;   6;    0.000;   0;eor
