STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Kempten;20141209;   3;    0.0;   5.5;   6.8;  941.93;   89.96;   1.2;    2.8;   -2.4;   -4.4;   5.2;   0.0;   0;    1.067;   0;eor
Kempten;20141210;   3;   -0.4;   4.7;   5.2;  941.30;   78.71;   2.4;    3.6;   -5.1;   -7.1;   8.1;   1.2;   4;    0.400;   0;eor
Kempten;20141211;   3;    3.7;   6.3;   7.6;  936.37;   79.50;   4.0;    4.8;    2.5;    0.5;  13.7;   0.8;   4;    0.033;   0;eor
Kempten;20141212;   3;    5.0;   5.1;   5.0;  931.15;   58.29;   3.2;    7.7;    2.7;   -1.0;  11.3;   0.0;   0;    6.283;   0;eor
Kempten;20141213;   3;    4.8;   5.5;   2.8;  931.65;   64.21;   2.2;   11.0;    0.2;   -2.9;   6.4;   0.0;   0;    4.233;   0;eor
Kempten;20141214;   3;    5.6;   6.5;   7.6;  935.34;   70.92;   1.9;    9.3;    2.4;   -0.4;   5.6;   0.0;   4;    1.267;   0;eor
Kempten;20141215;   3;    6.7;   8.0;   7.8;  935.50;   81.04;   1.8;    9.5;    4.4;    2.5;   5.4;   1.1;   4;    0.050;   0;eor
Kempten;20141216;   3;    5.3;   8.2;   7.9;  931.94;   91.96;   1.6;    6.4;    3.8;    2.9;   4.4;   2.7;   4;    0.000;   0;eor
Kempten;20141217;   3;    3.4;   7.0;   7.5;  931.88;   89.17;   2.8;    5.3;    1.7;    0.0;   9.6;   5.9;   4;    0.033;   0;eor
Kempten;20141218;   3;    7.8;   9.5;   7.7;  936.93;   88.96;   3.6;   10.3;    5.0;    4.3;  11.6;   6.0;   4;    0.000;   0;eor
Kempten;20141219;   3;    9.5;   8.7;   5.5;  938.94;   73.92;   4.6;   11.9;    6.4;    5.4;  17.9;  15.3;   4;    2.883;   0;eor
Kempten;20141220;   3;    5.0;   7.2;   7.7;  942.87;   80.92;   4.2;    7.7;    2.2;    1.2;  14.1;   1.6;   4;    0.117;   0;eor
Kempten;20141221;   3;    2.8;   5.9;   5.1;  948.90;   79.54;   3.0;    5.2;    1.0;   -1.6;  10.6;   0.0;   0;    3.167;   0;eor
Kempten;20141222;   3;    5.5;   4.6;   2.5;  945.27;   54.42;   3.5;   10.7;    0.6;   -1.8;  12.7;   0.0;   0;    5.467;   0;eor
Kempten;20141223;   3;    6.8;   3.7;   0.3;  942.57;   40.42;   2.8;   14.0;   -0.1;   -3.2;  10.4;   0.0;   0;    5.750;   0;eor
Kempten;20141224;   3;    4.5;   5.1;   1.5;  941.43;   60.33;   3.3;    7.9;    1.1;   -3.5;  12.3;   1.0;   4;    1.800;   0;eor
Kempten;20141225;   3;    3.6;   6.4;   7.5;  942.66;   82.04;   3.3;    7.8;    0.6;   -0.9;  12.4;   4.1;   4;    0.000;   0;eor
Kempten;20141226;   3;   -0.8;   5.2;   7.3;  943.93;   90.00;   2.1;    1.0;   -4.5;   -1.7;   7.8;   7.7;   4;    0.000;   1;eor
Kempten;20141227;   3;   -2.5;   4.8;   6.9;  923.18;   92.75;   2.7;    1.5;   -8.3;   -2.8;  11.5;  12.4;   4;    0.000;   7;eor
Kempten;20141228;   3;   -4.1;   4.1;   7.6;  929.74;   88.71;   2.3;   -0.7;  -10.3;   -0.4;   9.4;   3.2;   4;    0.000;  19;eor
Kempten;20141229;   3;   -8.7;   2.9;   5.8;  946.45;   87.08;   2.3;   -5.0;  -16.6;   -1.4;  10.5;   4.9;   4;    0.000;  19;eor
Kempten;20141230;   3;   -3.7;   4.3;   7.8;  949.42;   92.38;   2.2;   -2.6;   -5.0;   -0.4;   6.3;   9.5;   4;    0.000;  24;eor
Kempten;20141231;   3;   -2.6;   4.6;   7.6;  949.93;   91.79;   1.2;    0.3;   -9.7;   -0.2;   3.7;   0.3;   4;    0.000;  43;eor
Kempten;20150101;   3;   -8.1;   3.0;   3.0;  951.22;   88.29;   1.5;   -1.5;  -13.0;   -0.4;   4.1;   0.0;   0;    7.167;  33;eor
Kempten;20150102;   3;   -0.3;   5.5;   5.3;  949.75;   88.17;   2.6;    6.4;   -9.2;   -0.5;  10.6;   6.8;   4;    2.117;  26;eor
Kempten;20150103;   3;    3.6;   7.4;   7.7;  943.11;   92.67;   3.6;    7.8;    0.9;    0.0;  17.7;  30.7;   4;    0.100;  10;eor
Kempten;20150104;   3;    0.8;   5.2;   7.5;  947.46;   80.21;   2.6;    2.8;   -0.7;   -1.3;  10.5;   0.1;   4;    1.167;   0;eor
Kempten;20150105;   3;   -1.0;   4.1;   3.1;  949.03;   73.96;   1.8;    6.4;   -4.1;   -6.0;   5.8;   0.0;   0;    6.433;   0;eor
Kempten;20150106;   3;   -0.7;   4.0;   1.9;  942.10;   71.13;   1.8;    6.5;   -5.3;   -7.1;   4.7;   0.0;   0;    6.433;   0;eor
Kempten;20150107;   3;    2.0;   5.1;   6.5;  945.89;   72.92;   2.2;    4.5;   -0.5;   -4.0;   7.8;   0.0;   4;    0.200;   0;eor
Kempten;20150108;   3;    4.8;   5.8;   6.9;  946.98;   67.79;   3.5;    7.7;   -0.9;   -3.2;  17.2;   1.8;   4;    0.333;   0;eor
Kempten;20150109;   3;    6.3;   7.4;   7.4;  945.77;   77.08;   5.7;    9.0;    4.9;    2.5;  20.7;  12.1;   4;    0.000;   0;eor
Kempten;20150110;   3;   11.8;   9.8;   5.4;  938.65;   70.83;   7.0;   14.5;    8.6;    7.4;  19.6;   9.0;   4;    6.300;   0;eor
Kempten;20150111;   3;    2.6;   6.2;   7.0;  939.57;   82.17;   5.0;   10.5;    0.0;   -0.7;  15.3;   6.5;   4;    1.083;   0;eor
Kempten;20150112;   3;    3.2;   4.3;   6.3;  943.41;   57.83;   3.5;    7.7;    1.0;   -2.8;  10.1;   0.0;   0;    0.150;   0;eor
Kempten;20150113;   3;    3.5;   3.9;   2.3;  936.27;   51.96;   2.7;   12.4;   -1.5;   -5.3;   6.8;   0.0;   4;    7.383;   0;eor
