STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Kiel;20141209;   3;    2.7;   7.1;   8.0; 1018.73;   95.79;   3.9;    3.4;    2.0;    1.9;  12.3;   2.4;   4;    0.000;   0;eor
Kiel;20141210;   3;    4.2;   7.2;   5.1; 1004.68;   87.54;   5.9;    6.0;    2.8;    1.8;  18.1;   4.9;   4;    0.383;   0;eor
Kiel;20141211;   3;    3.5;   7.0;   6.3;  996.30;   89.75;   5.2;    5.2;    1.5;    0.2;  15.3;  22.2;   4;    0.017;   0;eor
Kiel;20141212;   3;    5.2;   8.1;   7.4;  988.60;   91.58;   5.8;    8.9;    1.5;    0.6;  19.4;  13.6;   4;    0.000;   0;eor
Kiel;20141213;   3;    4.0;   7.3;   4.0; 1000.58;   89.50;   4.2;    5.7;    1.7;   -1.2;  12.3;   0.3;   4;    1.650;   0;eor
Kiel;20141214;   3;    2.3;   6.5;   4.3; 1008.73;   89.79;   4.4;    4.2;   -0.1;   -1.5;  12.5;   1.3;   4;    2.583;   0;eor
Kiel;20141215;   3;    3.9;   7.5;   7.2; 1003.70;   92.29;   4.7;    5.4;    2.2;    0.9;  11.9;   5.9;   4;    0.000;   0;eor
Kiel;20141216;   3;    4.3;   7.7;   6.7; 1002.58;   92.79;   4.1;    6.0;    2.6;    0.7;  12.7;   3.8;   4;    0.067;   0;eor
Kiel;20141217;   3;    3.6;   7.4;   7.1;  999.15;   93.17;   3.4;    7.4;    2.5;    0.6;   9.9;   1.4;   4;    0.000;   0;eor
Kiel;20141218;   3;    9.4;  11.6;   7.8;  998.88;   97.79;   5.0;   11.0;    7.3;    6.3;  16.3;  19.2;   4;    0.000;   0;eor
Kiel;20141219;   3;    8.0;   9.7;   6.0;  998.98;   88.71;   6.2;   10.8;    3.6;    2.3;  18.8;   7.2;   4;    0.217;   0;eor
Kiel;20141220;   3;    5.1;   7.2;   4.8; 1002.78;   81.29;   7.8;    7.1;    2.8;    2.2;  21.8;   7.5;   4;    0.367;   0;eor
Kiel;20141221;   3;    6.3;   8.4;   4.9; 1012.43;   87.63;   6.2;    8.5;    4.5;    2.4;  19.9;  18.1;   4;    0.000;   0;eor
Kiel;20141222;   3;    9.5;  11.5;   7.5; 1001.10;   96.54;   8.5;   10.4;    8.2;    7.5;  19.3;  22.4;   4;    0.000;   0;eor
Kiel;20141223;   3;    9.3;  11.4;   7.8; 1002.71;   97.08;   7.5;    9.8;    8.9;    8.3;  16.9;  19.9;   4;    0.000;   0;eor
Kiel;20141224;   3;    7.5;   9.4;   5.8; 1002.21;   89.13;   7.1;    9.4;    4.2;    3.1;  19.5;  13.1;   4;    1.267;   0;eor
Kiel;20141225;   3;    3.3;   6.9;   7.5; 1010.88;   88.25;   5.3;    6.1;    0.2;   -0.3;  14.6;   5.3;   4;    0.000;   0;eor
Kiel;20141226;   3;   -0.7;   5.0;   6.9; 1021.82;   86.83;   2.7;    1.2;   -2.3;   -3.9;   7.1;   0.5;   4;    1.467;   0;eor
Kiel;20141227;   3;   -0.9;   4.8;   4.7; 1010.22;   84.92;   3.4;    0.6;   -3.0;   -3.7;   9.0;   0.0;   0;    2.883;   0;eor
Kiel;20141228;   3;   -0.5;   5.0;   5.1; 1020.37;   84.63;   2.8;    2.0;   -2.5;   -5.0;   7.5;   0.7;   4;    4.267;   0;eor
Kiel;20141229;   3;    1.3;   5.8;   6.8; 1025.15;   85.67;   4.3;    3.6;   -0.4;   -0.6;  12.9;   2.5;   4;    2.150;   0;eor
Kiel;20141230;   3;    4.5;   7.5;   7.7; 1025.40;   88.96;   3.9;    5.8;    3.6;    2.0;   7.7;   0.0;   4;    0.000;   0;eor
Kiel;20141231;   3;    6.3;   9.2;   7.1; 1025.27;   95.79;   4.5;    8.0;    4.7;    4.1;  11.8;   0.1;   4;    1.017;   0;eor
Kiel;20150101;   3;    4.5;   7.5;   7.8; 1022.16;   88.54;   5.5;    6.2;    3.5;    3.3;  14.8;   8.0;   4;    0.000;   0;eor
Kiel;20150102;   3;    6.7;   8.1;   6.9; 1009.44;   82.17;   9.3;    9.5;    4.1;    2.5;  22.9;   2.2;   4;    0.683;   0;eor
Kiel;20150103;   3;    4.5;   7.3;   5.8; 1010.31;   87.21;   6.8;    5.9;    2.8;    1.2;  17.4;   4.2;   4;    0.000;   0;eor
Kiel;20150104;   3;    3.7;   6.7;   2.0; 1020.13;   84.08;   5.5;    5.8;    2.2;    0.3;  13.0;   0.0;   4;    4.717;   0;eor
Kiel;20150105;   3;    5.3;   7.9;   7.9; 1023.33;   88.83;   3.8;    6.1;    3.9;    2.6;  11.1;   0.2;   4;    0.000;   0;eor
Kiel;20150106;   3;    3.4;   6.9;   8.0; 1019.50;   88.96;   2.8;    4.2;    2.1;    0.9;   8.6;   0.2;   4;    0.000;   0;eor
