STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Lahr;19500101;   5;   -2.2;   4.5;   0.3;    -999;   87.00;-999;   -999;   -999;   -6.6;-999;   0.0;   0;     -999;   0;eor
Lahr;19500102;   5;    1.5;   4.3;   6.3;    -999;   68.00;-999;   -999;   -999;   -5.8;-999;  13.5;   1;     -999;   0;eor
Lahr;19500103;   5;    2.2;   6.9;   8.0;    -999;   96.00;-999;   -999;   -999;    0.0;-999;   2.1;   8;     -999;   0;eor
Lahr;19500104;   5;    2.1;   6.8;   8.0;    -999;   95.00;-999;   -999;   -999;    0.8;-999;  10.0;   1;     -999;   0;eor
Lahr;19500105;   5;    7.1;   8.1;   7.7;    -999;   80.00;-999;   -999;   -999;    0.8;-999;   2.5;   1;     -999;   0;eor
Lahr;19500106;   5;    5.6;   7.3;   5.3;    -999;   78.00;-999;   -999;   -999;    5.4;-999;   0.6;   1;     -999;   0;eor
Lahr;19500107;   5;    2.7;   6.5;   3.0;    -999;   85.00;-999;   -999;   -999;   -0.6;-999;   0.0;   0;     -999;   0;eor
Lahr;19500108;   5;    1.8;   6.1;   1.0;    -999;   87.00;-999;   -999;   -999;   -2.5;-999;   0.0;   0;     -999;   0;eor
Lahr;19500109;   5;    2.9;   6.1;   3.3;    -999;   84.00;-999;   -999;   -999;   -1.8;-999;   0.0;   0;     -999;   0;eor
Lahr;19500110;   5;    7.9;   8.9;   7.7;    -999;   85.00;-999;   -999;   -999;    0.2;-999;   0.0;   0;     -999;   0;eor
Lahr;19500111;   5;    7.9;   9.5;   8.0;    -999;   89.00;-999;   -999;   -999;    5.3;-999;   0.0;   1;     -999;   0;eor
Lahr;19500112;   5;    7.0;   9.3;   5.7;    -999;   92.00;-999;   -999;   -999;    5.8;-999;   1.1;   1;     -999;   0;eor
Lahr;19500113;   5;    2.0;   6.8;   8.0;    -999;   97.00;-999;   -999;   -999;   -1.4;-999;   0.3;   1;     -999;   0;eor
Lahr;19500114;   5;    2.6;   6.7;   8.0;    -999;   94.00;-999;   -999;   -999;   -2.2;-999;   0.0;   0;     -999;   0;eor
Lahr;19500115;   5;    4.5;   7.1;   7.7;    -999;   82.00;-999;   -999;   -999;    2.6;-999;   0.2;   1;     -999;   0;eor
Lahr;19500116;   5;    6.1;   7.1;   8.0;    -999;   75.00;-999;   -999;   -999;    3.8;-999;   2.6;   1;     -999;   0;eor
Lahr;19500117;   5;    1.6;   6.4;   4.0;    -999;   91.00;-999;   -999;   -999;    0.5;-999;   0.0;   0;     -999;   0;eor
Lahr;19500118;   5;    1.0;   5.6;   4.3;    -999;   84.00;-999;   -999;   -999;   -1.7;-999;   0.0;   0;     -999;   0;eor
Lahr;19500119;   5;   -4.6;   2.8;   5.3;    -999;   65.00;-999;   -999;   -999;   -4.7;-999;   0.0;   0;     -999;   0;eor
Lahr;19500120;   5;   -3.8;   3.3;   8.0;    -999;   75.00;-999;   -999;   -999;   -6.8;-999;   0.0;   0;     -999;   0;eor
Lahr;19500121;   5;   -2.8;   4.1;   5.3;    -999;   82.00;-999;   -999;   -999;   -3.6;-999;   0.0;   0;     -999;   0;eor
Lahr;19500122;   5;   -3.2;   3.7;   0.7;    -999;   81.00;-999;   -999;   -999;   -9.2;-999;   0.0;   0;     -999;   0;eor
Lahr;19500123;   5;   -2.1;   3.2;   0.3;    -999;   63.00;-999;   -999;   -999;   -6.7;-999;   0.0;   0;     -999;   0;eor
Lahr;19500124;   5;   -5.1;   2.9;   0.0;    -999;   70.00;-999;   -999;   -999;   -9.3;-999;   0.0;   0;     -999;   0;eor
Lahr;19500125;   5;   -4.0;   3.5;   0.7;    -999;   79.00;-999;   -999;   -999;  -10.0;-999;   0.0;   0;     -999;   0;eor
Lahr;19500126;   5;   -1.8;   4.4;   5.7;    -999;   83.00;-999;   -999;   -999;   -8.0;-999;   0.0;   0;     -999;   0;eor
Lahr;19500127;   5;   -1.0;   4.7;   5.0;    -999;   80.00;-999;   -999;   -999;   -6.0;-999;   0.0;   0;     -999;   0;eor
Lahr;19500128;   5;   -1.8;   4.5;   7.3;    -999;   83.00;-999;   -999;   -999;   -3.8;-999;   0.0;   0;     -999;   0;eor
Lahr;19500129;   5;   -2.0;   3.7;   8.0;    -999;   72.00;-999;   -999;   -999;   -4.1;-999;   0.0;   0;     -999;   0;eor
Lahr;19500130;   5;   -3.6;   3.7;   5.3;    -999;   77.00;-999;   -999;   -999;   -4.8;-999;   0.0;   0;     -999;   0;eor
Lahr;19500131;   5;   -0.4;   4.8;   6.0;    -999;   81.00;-999;   -999;   -999;   -7.7;-999;   4.2;   1;     -999;   0;eor
Lahr;19500201;   5;    3.1;   6.7;   3.3;    -999;   84.00;-999;    6.7;    1.1;   -4.5;-999;   2.2;   1;     -999;   0;eor
Lahr;19500202;   5;    0.6;   5.7;   6.0;    -999;   89.00;-999;    3.6;   -1.5;   -2.7;-999;   0.0;   0;     -999;   0;eor
Lahr;19500203;   5;    2.7;   6.0;   6.0;    -999;   81.00;-999;    5.2;   -1.3;   -3.0;-999;   2.2;   1;     -999;   0;eor
Lahr;19500204;   5;    6.7;   8.9;   8.0;    -999;   90.00;-999;   10.3;    3.0;    0.4;-999;   1.8;   1;     -999;   0;eor
Lahr;19500205;   5;    6.7;   6.9;   5.3;    -999;   67.00;-999;   10.9;    3.8;    2.6;-999;   1.9;   1;     -999;   0;eor
Lahr;19500206;   5;    9.6;   6.9;   4.7;    -999;   57.00;-999;   12.4;    4.0;    3.4;-999;   8.3;   1;     -999;   0;eor
Lahr;19500207;   5;    4.6;   6.7;   6.3;    -999;   78.00;-999;    8.3;    3.5;    3.0;-999;   0.5;   1;     -999;   0;eor
Lahr;19500208;   5;    5.9;   6.8;   7.7;    -999;   72.00;-999;    7.2;    0.5;   -0.2;-999;  17.8;   8;     -999;   0;eor
Lahr;19500209;   5;    2.7;   6.0;   7.7;    -999;   79.00;-999;    5.1;    1.5;    0.8;-999;   3.7;   8;     -999;   0;eor
Lahr;19500210;   5;   11.1;  10.5;   8.0;    -999;   81.00;-999;   12.5;    1.3;    1.0;-999;   6.4;   1;     -999;   0;eor
Lahr;19500211;   5;    7.6;   8.1;   7.3;    -999;   76.00;-999;   12.0;    5.1;    8.0;-999;   3.5;   1;     -999;   0;eor
Lahr;19500212;   5;    6.9;   6.7;   5.7;    -999;   67.00;-999;    9.2;    4.4;    3.0;-999;   0.2;   1;     -999;   0;eor
Lahr;19500213;   5;    8.8;   6.4;   7.3;    -999;   56.00;-999;   12.4;    6.5;    5.5;-999;   1.5;   1;     -999;   0;eor
Lahr;19500214;   5;    3.9;   6.4;   5.0;    -999;   77.00;-999;    7.4;    2.5;    3.8;-999;   0.4;   1;     -999;   0;eor
Lahr;19500215;   5;    6.7;   7.1;   8.0;    -999;   72.00;-999;    8.3;    0.2;   -0.7;-999;   1.1;   1;     -999;   0;eor
Lahr;19500216;   5;    7.4;   8.4;   4.7;    -999;   77.00;-999;   12.1;    4.3;    1.7;-999;   0.0;   0;     -999;   0;eor
Lahr;19500217;   5;    6.6;   7.6;   2.7;    -999;   78.00;-999;   16.5;   -0.4;   -0.8;-999;   0.0;   0;     -999;   0;eor
Lahr;19500218;   5;    6.6;   7.2;   0.0;    -999;   75.00;-999;   15.8;    0.6;   -0.1;-999;   0.0;   0;     -999;   0;eor
Lahr;19500219;   5;    8.2;   7.3;   1.0;    -999;   67.00;-999;   17.4;    0.5;   -0.6;-999;   0.0;   0;     -999;   0;eor
Lahr;19500220;   5;   10.6;   7.9;   8.0;    -999;   61.00;-999;   12.7;    3.9;    2.6;-999;   1.1;   1;     -999;   0;eor
Lahr;19500221;   5;    5.8;   8.1;   7.7;    -999;   85.00;-999;   10.6;    3.6;    5.9;-999;   3.8;   1;     -999;   0;eor
Lahr;19500222;   5;    2.6;   6.4;   4.3;    -999;   84.00;-999;    8.3;    0.0;    1.8;-999;   0.0;   0;     -999;   0;eor
Lahr;19500223;   5;    6.8;   5.7;   6.0;    -999;   64.00;-999;   11.8;   -2.7;   -2.9;-999;   1.4;   1;     -999;   0;eor
Lahr;19500224;   5;    9.2;   9.1;   7.7;    -999;   78.00;-999;   10.8;    7.2;    5.9;-999;   1.3;   1;     -999;   0;eor
Lahr;19500225;   5;    8.4;   8.1;   7.0;    -999;   75.00;-999;   12.6;    4.2;    2.7;-999;   1.5;   1;     -999;   0;eor
Lahr;19500226;   5;    1.4;   6.8;   8.0;    -999;   96.00;-999;    8.1;   -0.4;    4.1;-999;  20.5;   8;     -999;   0;eor
Lahr;19500227;   5;   -1.4;   4.9;   7.0;    -999;   87.00;-999;    1.4;   -2.8;   -1.5;-999;   0.9;   7;     -999;   9;eor
Lahr;19500228;   5;   -2.8;   4.0;   1.0;    -999;   78.00;-999;    2.3;   -7.6;   -6.7;-999;   0.0;   0;     -999;   9;eor
Lahr;19500301;   5;   -3.5;   3.7;   0.3;    -999;   77.00;-999;    2.3;   -9.0;   -6.8;-999;   0.0;   0;     -999;   0;eor
Lahr;19500302;   5;   -2.6;   4.0;   3.3;    -999;   80.00;-999;    1.3;   -8.8;   -6.6;-999;   0.0;   0;     -999;   0;eor
Lahr;19500303;   5;   -0.2;   4.7;   0.0;    -999;   78.00;-999;    5.0;   -6.4;   -4.9;-999;   0.0;   0;     -999;   0;eor
Lahr;19500304;   5;    3.0;   6.1;   7.3;    -999;   82.00;-999;    6.6;   -2.2;   -1.4;-999;   0.2;   1;     -999;   0;eor
Lahr;19500305;   5;    3.7;   6.5;   1.7;    -999;   81.00;-999;   10.8;   -1.6;   -0.4;-999;   0.0;   0;     -999;   0;eor
Lahr;19500306;   5;    6.4;   7.7;   0.0;    -999;   79.00;-999;   14.8;   -0.5;   -0.2;-999;   0.0;   0;     -999;   0;eor
Lahr;19500307;   5;    4.2;   7.7;   5.0;    -999;   93.00;-999;   10.8;   -0.4;   -0.5;-999;   0.0;   0;     -999;   0;eor
Lahr;19500308;   5;    8.4;   8.1;   0.0;    -999;   75.00;-999;   17.7;    1.0;    1.5;-999;   0.0;   0;     -999;   0;eor
Lahr;19500309;   5;    8.6;   8.4;   0.0;    -999;   75.00;-999;   17.6;    1.9;    2.4;-999;   0.0;   0;     -999;   0;eor
