STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     Leipzig;20141130;   3;   -0.1;   5.2;   8.0; 1000.01;   86.79;   5.9;    1.0;   -0.9;   -0.8;  11.7;   0.0;   0;    0.000;   0;eor
     Leipzig;20141201;   3;   -1.8;   4.3;   7.9;  999.28;   80.58;   7.5;   -0.9;   -2.4;   -2.3;  13.8;   0.0;   0;    0.000;   0;eor
     Leipzig;20141202;   3;   -2.0;   4.3;   7.7;  999.83;   81.13;   4.8;   -1.3;   -3.0;   -2.7;   9.5;   0.4;   8;    0.000;   0;eor
     Leipzig;20141203;   3;   -1.8;   5.0;   8.0; 1004.63;   93.75;   2.9;   -0.5;   -2.7;   -2.6;   6.2;   0.0;   8;    0.000;   0;eor
     Leipzig;20141204;   3;    1.3;   6.4;   8.0; 1001.68;   95.08;   2.6;    3.1;   -0.5;   -0.5;   6.1;   0.3;   6;    0.000;   0;eor
     Leipzig;20141205;   3;    2.4;   7.0;   7.9; 1001.97;   96.33;   2.0;    3.0;    1.7;    1.8;   4.2;   0.0;   6;    0.000;   0;eor
     Leipzig;20141206;   3;    3.8;   7.3;   7.6; 1005.75;   90.67;   1.9;    5.8;    2.6;    1.9;   4.2;   0.0;   6;    3.283;   0;eor
     Leipzig;20141207;   3;    3.1;   6.9;   6.9; 1003.60;   90.29;   3.3;    4.7;   -0.2;   -3.1;   9.5;   2.8;   6;    0.000;   0;eor
     Leipzig;20141208;   3;    2.3;   6.3;   2.8; 1001.13;   86.63;   5.2;    5.4;   -2.2;   -4.8;  10.9;   0.0;   0;    6.250;   0;eor
     Leipzig;20141209;   3;   -0.7;   5.3;   2.4; 1009.81;   90.75;   3.1;    3.5;   -3.3;   -6.8;   7.1;   0.0;   0;    7.067;   0;eor
     Leipzig;20141210;   3;    1.9;   5.8;   6.5; 1002.39;   82.54;   7.3;    3.7;   -1.4;   -2.4;  14.9;   0.1;   8;    0.000;   0;eor
     Leipzig;20141211;   3;    3.6;   6.6;   5.5;  993.35;   83.54;   7.3;    6.4;    1.5;    0.1;  18.8;   0.9;   6;    0.000;   0;eor
     Leipzig;20141212;   3;    7.4;   7.6;   7.2;  986.58;   73.75;   9.2;   10.1;    3.5;    2.0;  19.9;   0.8;   6;    0.000;   0;eor
     Leipzig;20141213;   3;    5.2;   7.9;   7.9;  993.42;   88.92;   4.6;    9.1;    2.9;    2.6;  14.0;   1.4;   6;    0.000;   0;eor
     Leipzig;20141214;   3;    2.8;   7.1;   7.7; 1000.03;   95.29;   2.0;    3.7;    1.4;   -0.3;   5.8;   0.9;   6;    0.000;   0;eor
     Leipzig;20141215;   3;    4.6;   7.2;   6.7;  997.71;   86.13;   5.3;    9.3;    0.2;   -0.6;  13.6;   0.0;   6;    4.133;   0;eor
     Leipzig;20141216;   3;    4.9;   7.5;   6.4;  995.33;   87.08;   4.1;    7.9;    0.4;   -1.7;  11.1;   0.2;   6;    0.983;   0;eor
     Leipzig;20141217;   3;    2.4;   6.8;   5.5;  992.28;   92.50;   5.6;    5.8;   -0.8;   -4.0;  12.4;   3.5;   6;    0.000;   0;eor
     Leipzig;20141218;   3;    9.2;  10.3;   7.8;  993.75;   88.13;   6.6;   12.6;    5.7;    5.4;  15.3;   1.0;   6;    0.300;   0;eor
     Leipzig;20141219;   3;   10.1;  10.0;   7.6;  994.23;   80.04;   8.6;   12.4;    4.5;    2.9;  18.6;   5.3;   6;    0.000;   0;eor
     Leipzig;20141220;   3;    4.8;   6.8;   6.6;  999.10;   79.63;   9.4;    6.0;    1.8;    0.4;  20.2;   4.6;   6;    0.000;   0;eor
     Leipzig;20141221;   3;    5.3;   7.3;   7.0; 1007.08;   81.46;   8.2;    7.4;    2.9;    1.9;  18.4;   0.0;   6;    1.117;   0;eor
     Leipzig;20141222;   3;    8.7;   8.8;   7.8;  998.68;   77.96;  13.5;   10.2;    7.2;    6.2;  23.5;   0.2;   6;    0.000;   0;eor
     Leipzig;20141223;   3;   10.2;   9.5;   7.8;  999.09;   76.29;  10.0;   10.9;    9.4;    8.6;  17.7;   0.0;   6;    0.000;   0;eor
     Leipzig;20141224;   3;    8.1;   8.1;   7.9;  997.55;   75.50;   9.4;    9.8;    5.3;    4.5;  19.2;   3.7;   6;    0.000;   0;eor
     Leipzig;20141225;   3;    3.7;   6.7;   5.5; 1002.11;   83.88;   6.8;    6.8;    0.4;    0.0;  15.3;   1.2;   8;    0.850;   0;eor
     Leipzig;20141226;   3;   -0.7;   5.1;   5.4; 1009.48;   86.58;   3.1;    1.0;   -4.2;   -6.6;   9.4;   0.0;   7;    4.367;   1;eor
     Leipzig;20141227;   3;   -3.4;   4.1;   5.0;  994.63;   86.92;   5.2;   -1.1;   -6.2;   -6.4;  11.4;   0.0;   0;    0.000;   0;eor
     Leipzig;20141228;   3;   -5.3;   3.6;   7.4; 1005.58;   87.08;   4.5;   -2.1;   -8.1;   -9.1;  13.3;   0.5;   7;    1.667;   0;eor
     Leipzig;20141229;   3;   -3.4;   4.5;   7.1; 1011.69;   93.79;   4.0;   -0.5;   -8.9;  -15.9;  10.9;   3.2;   7;    0.567;   3;eor
     Leipzig;20141230;   3;   -1.0;   5.6;   8.0; 1014.53;   98.04;   3.6;    1.8;   -4.4;   -4.8;   7.1;   2.5;   8;    0.000;   9;eor
     Leipzig;20141231;   3;    1.6;   6.7;   8.0; 1015.19;   97.38;   4.0;    2.3;    0.8;    0.3;   7.7;   1.3;   6;    0.000;   7;eor
     Leipzig;20150101;   3;    2.8;   7.0;   6.2; 1016.18;   93.21;   5.1;    5.4;    1.1;    0.0;  10.2;   0.0;   0;    6.417;   0;eor
     Leipzig;20150102;   3;    3.9;   6.7;   6.4; 1006.62;   83.29;   9.1;    5.5;    1.4;    0.4;  18.2;   2.5;   6;    0.000;   0;eor
     Leipzig;20150103;   3;    2.9;   6.1;   6.9; 1004.52;   80.92;   7.8;    4.2;    1.7;    0.4;  14.6;   0.1;   6;    0.000;   0;eor
     Leipzig;20150104;   3;    3.1;   6.5;   5.5; 1008.36;   85.50;   6.2;    4.5;    2.1;    0.4;  12.8;   0.1;   6;    1.183;   0;eor
     Leipzig;20150105;   3;    2.3;   6.2;   7.3; 1013.02;   85.54;   4.9;    3.0;    1.6;    0.6;  12.3;   0.0;   6;    0.017;   0;eor
     Leipzig;20150106;   3;    1.6;   5.6;   7.0; 1008.93;   81.46;   3.0;    4.4;   -1.6;   -4.1;   7.3;   0.4;   8;    5.200;   0;eor
     Leipzig;20150107;   3;    2.1;   6.2;   6.3; 1009.45;   87.58;   5.1;    4.6;    0.3;   -0.9;   8.6;   0.4;   8;    0.050;   0;eor
     Leipzig;20150108;   3;    4.0;   7.3;   7.7; 1005.12;   88.83;   6.3;    7.1;    0.0;   -1.1;  17.5;   7.3;   6;    0.000;   0;eor
     Leipzig;20150109;   3;    6.8;   7.8;   5.6;  998.82;   78.67;  10.9;    9.5;    3.3;    2.0;  27.3;   3.0;   6;    0.000;   0;eor
     Leipzig;20150110;   3;    9.9;   9.8;   6.6;  989.67;   78.83;  10.0;   14.6;    2.5;    0.8;  24.5;   4.1;   6;    0.250;   0;eor
     Leipzig;20150111;   3;    3.0;   5.9;   6.2;  995.40;   77.79;   9.6;    5.0;    1.4;    0.5;  21.0;   1.2;   8;    1.950;   0;eor
