STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Mannheim;19360101;   5;    6.8;   9.5;   5.3;  990.00;   97.00;-999;    8.3;    5.6;   -999;-999;   0.3;   1;     -999;   0;eor
Mannheim;19360102;   5;    6.4;   9.3;   8.0;  985.60;   96.00;-999;    8.7;    5.9;   -999;-999;   2.4;   1;     -999;   0;eor
Mannheim;19360103;   5;    9.0;  10.9;   8.0;  981.10;   99.00;-999;   10.7;    5.9;   -999;-999;   8.8;   1;     -999;   0;eor
Mannheim;19360104;   5;    6.0;   8.7;   8.0; 1000.60;   92.00;-999;   11.1;    5.7;   -999;-999;   0.0;   0;     -999;   0;eor
Mannheim;19360105;   5;    4.9;   8.5;   7.0; 1004.80;   97.00;-999;    8.0;    3.5;   -999;-999;   0.0;   0;     -999;   0;eor
Mannheim;19360106;   5;    5.0;   8.0;   8.0;  995.60;   93.00;-999;    6.5;    3.3;   -999;-999;   1.1;   1;     -999;   0;eor
Mannheim;19360107;   5;    5.1;   8.5;   8.0;  994.30;   97.00;-999;    7.5;    3.0;   -999;-999;   0.0;   0;     -999;   0;eor
Mannheim;19360108;   5;    6.7;   9.6;   7.3;  999.50;   95.00;-999;   10.9;    4.4;   -999;-999;   0.0;   0;     -999;   0;eor
Mannheim;19360109;   5;    8.0;  10.1;   8.0; 1002.70;   97.00;-999;    9.7;    5.1;   -999;-999;   3.0;   1;     -999;   0;eor
Mannheim;19360110;   5;   13.0;  13.3;   6.0;  999.10;   92.00;-999;   13.8;    8.5;   -999;-999;   0.1;   1;     -999;   0;eor
Mannheim;19360111;   5;   10.1;  10.8;   7.3; 1007.40;   85.00;-999;   14.0;    8.5;   -999;-999;   5.0;   1;     -999;   0;eor
Mannheim;19360112;   5;    2.5;   7.3;   8.0; 1012.00;   99.00;-999;    8.5;    1.4;   -999;-999;   1.5;   8;     -999;   0;eor
Mannheim;19360113;   5;    1.0;   6.1;   8.0; 1010.80;   96.00;-999;    2.2;   -1.3;   -999;-999;   0.0;   0;     -999;   0;eor
Mannheim;19360114;   5;    1.7;   6.9;   3.7; 1012.00;   96.00;-999;    5.7;   -0.1;   -999;-999;   0.0;   0;     -999;   0;eor
Mannheim;19360115;   5;   -2.0;   5.1;   6.7; 1010.30;   95.00;-999;    0.3;   -3.4;   -999;-999;   0.0;   0;     -999;   0;eor
Mannheim;19360116;   5;   -2.0;   4.8;   8.0;  997.00;   94.00;-999;   -0.6;   -5.5;   -999;-999;   0.7;   1;     -999;   0;eor
Mannheim;19360117;   5;    4.7;   6.3;   8.0;  980.20;   74.00;-999;    7.8;   -0.9;   -999;-999;   0.8;   1;     -999;   0;eor
Mannheim;19360118;   5;    2.2;   5.3;   7.0;  992.40;   75.00;-999;    5.7;    1.1;   -999;-999;   0.0;   0;     -999;   0;eor
Mannheim;19360119;   5;    2.4;   5.5;   8.0;  989.40;   76.00;-999;    4.4;    0.2;   -999;-999;   1.9;   1;     -999;   0;eor
Mannheim;19360120;   5;    7.8;   9.1;   7.3;  984.80;   88.00;-999;    9.7;    2.2;   -999;-999;   1.8;   1;     -999;   0;eor
Mannheim;19360121;   5;    6.6;   6.9;   4.7;  989.40;   71.00;-999;   10.2;    4.4;   -999;-999;   2.3;   1;     -999;   0;eor
Mannheim;19360122;   5;    2.5;   7.2;   5.3;  992.60;   96.00;-999;    5.4;    1.4;   -999;-999;   6.4;   1;     -999;   0;eor
Mannheim;19360123;   5;    2.9;   6.0;   5.0;  998.80;   78.00;-999;    5.1;    1.1;   -999;-999;   0.0;   0;     -999;   0;eor
Mannheim;19360124;   5;    3.5;   6.0;   7.7;  997.40;   79.00;-999;    5.8;    0.8;   -999;-999;   0.7;   1;     -999;   0;eor
