STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     Muenchen;19721101;   5;    6.4;   9.1;   7.7;  971.60;   95.00;   0.2;    8.9;    4.5;    4.8;   1.0;   0.2;   1;    2.300;   0;eor
     Muenchen;19721102;   5;    5.4;   8.7;   8.0;  975.90;   98.00;   0.1;    7.0;    3.6;    4.4;   2.1;   0.3;   1;    0.000;   0;eor
     Muenchen;19721103;   5;    5.0;   8.5;   8.0;  974.40;   99.00;   0.3;    5.9;    3.5;    4.3;   2.6;   0.2;   1;    0.000;   0;eor
     Muenchen;19721104;   5;    5.2;   8.4;   8.0;  973.80;   96.00;   0.2;    6.8;    2.8;    4.0;   1.8;   0.2;   1;    0.000;   0;eor
     Muenchen;19721105;   5;    5.4;   8.7;   7.7;  976.30;   96.00;   0.2;    7.4;    3.1;    4.5;   2.0;   0.1;   1;    0.100;   0;eor
     Muenchen;19721106;   5;    5.2;   8.8;   8.0;  977.20;   99.00;   0.1;    7.0;    3.2;    4.3;   2.4;   0.3;   1;    0.000;   0;eor
     Muenchen;19721107;   5;    4.2;   8.1;   8.0;  973.20;   99.00;   0.1;    5.2;    2.7;    3.9;   1.5;   0.2;   1;    0.000;   0;eor
     Muenchen;19721108;   5;    6.3;   8.9;   7.7;  971.50;   95.00;   0.2;    9.0;    3.3;    4.4;   3.1;   0.0;   1;    0.800;   0;eor
     Muenchen;19721109;   5;    6.8;   9.3;   8.0;  971.90;   95.00;   0.3;    8.0;    5.9;    6.0;   3.0;   0.0;   1;    0.000;   0;eor
     Muenchen;19721110;   5;    6.9;   9.1;   5.7;  963.80;   92.00;   1.7;    9.4;    5.6;    6.0;  14.4;   3.1;   1;    4.700;   0;eor
     Muenchen;19721111;   5;    5.3;   8.1;   7.0;  958.40;   85.00;   4.8;   12.9;    3.0;    5.7;  20.1;   7.8;   1;    0.900;   0;eor
     Muenchen;19721112;   5;    3.5;   6.8;   7.7;  960.30;   89.00;   4.8;    4.3;    1.7;    2.4;  13.9;   4.9;   1;    0.000;   0;eor
     Muenchen;19721113;   5;    7.5;   9.1;   8.0;  953.40;   84.00;   7.3;   11.0;    3.9;    3.5;  29.3;  23.4;   1;    0.000;   0;eor
     Muenchen;19721114;   5;    5.8;   8.5;   8.0;  953.90;   95.00;   2.0;   12.8;    4.0;    3.7;  16.6;  27.8;   1;    0.000;   0;eor
     Muenchen;19721115;   5;    2.6;   6.0;   5.3;  967.60;   79.00;   2.0;    7.2;    0.7;    3.3;  10.5;   0.2;   8;    2.200;   0;eor
     Muenchen;19721116;   5;    5.2;   7.5;   7.7;  961.20;   91.00;   2.7;   10.3;   -0.1;   -2.0;  23.2;  18.5;   8;    0.000;   0;eor
     Muenchen;19721117;   5;   12.9;  10.0;   6.3;  954.70;   67.00;   7.2;   16.1;   10.3;    9.5;  20.6;  14.7;   8;    3.800;   0;eor
     Muenchen;19721118;   5;    2.0;   5.3;   7.0;  964.30;   75.00;   4.5;   12.6;    1.1;    1.3;  18.6;   0.5;   8;    3.700;   0;eor
     Muenchen;19721119;   5;    1.1;   4.9;   7.7;  960.60;   77.00;   0.9;    2.4;   -0.9;   -3.0;   6.2;   1.6;   8;    0.600;   0;eor
     Muenchen;19721120;   5;    6.2;   7.5;   7.3;  949.20;   82.00;   2.6;   10.1;    1.1;    0.3;  14.4;   7.7;   1;    2.400;   0;eor
