STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
Rostock;20141209;   3;    3.4;   6.7;   7.8; 1021.50;   85.42;   3.9;    4.0;    2.1;    1.2;  13.7;   0.0;   6;    0.000;   0;eor
Rostock;20141210;   3;    3.4;   6.6;   6.0; 1009.05;   83.79;   6.4;    5.6;    1.7;    0.9;  17.1;   2.7;   8;    0.000;   0;eor
Rostock;20141211;   3;    4.0;   6.7;   6.9;  999.94;   83.04;   6.3;    5.3;    3.0;    1.8;  15.1;   0.7;   6;    0.133;   0;eor
Rostock;20141212;   3;    5.7;   7.9;   7.9;  992.15;   85.17;   6.5;    9.1;    2.8;    1.5;  18.6;   4.9;   6;    0.000;   0;eor
Rostock;20141213;   3;    4.2;   6.8;   3.6; 1002.76;   82.17;   5.2;    5.3;    1.5;    0.1;  13.7;   0.1;   6;    0.067;   0;eor
Rostock;20141214;   3;    1.7;   6.2;   3.6; 1012.18;   89.71;   4.2;    3.1;    0.3;   -1.0;  11.4;   0.0;   6;    0.017;   0;eor
Rostock;20141215;   3;    3.2;   6.6;   6.8; 1007.02;   85.00;   5.2;    5.4;    0.7;   -0.4;  13.0;   1.0;   6;    0.000;   0;eor
Rostock;20141216;   3;    4.9;   7.5;   6.9; 1004.95;   86.17;   4.9;    5.9;    2.9;    1.4;  12.0;   1.1;   6;    0.217;   0;eor
Rostock;20141217;   3;    3.1;   6.7;   6.5; 1002.19;   88.04;   4.1;    4.1;    1.7;    0.0;  11.3;   0.4;   6;    0.000;   0;eor
Rostock;20141218;   3;    9.3;  10.8;   8.0; 1001.32;   91.33;   5.2;   11.8;    4.1;    3.8;  14.8;   2.8;   6;    0.000;   0;eor
Rostock;20141219;   3;    8.8;  10.0;   6.5; 1000.65;   86.88;   6.7;   11.8;    4.5;    3.3;  15.9;  10.5;   6;    0.067;   0;eor
Rostock;20141220;   3;    5.2;   7.3;   6.1; 1003.62;   82.08;  10.0;    6.8;    3.3;    2.9;  25.3;   6.1;   6;    0.217;   0;eor
Rostock;20141221;   3;    6.2;   8.1;   5.9; 1014.03;   85.29;   7.8;    7.6;    5.0;    4.2;  16.3;  10.5;   6;    0.217;   0;eor
Rostock;20141222;   3;    9.5;  11.1;   7.9; 1002.67;   93.67;   8.5;   10.6;    7.6;    7.0;  18.9;  17.7;   6;    0.000;   0;eor
Rostock;20141223;   3;    9.2;  11.1;   8.0; 1004.40;   94.79;   7.0;   10.5;    6.8;    6.7;  18.2;  25.7;   6;    0.000;   0;eor
Rostock;20141224;   3;    8.1;   9.4;   6.7; 1004.02;   86.17;   7.4;   10.1;    5.2;    4.3;  19.8;   1.0;   6;    2.017;   0;eor
Rostock;20141225;   3;    4.1;   7.2;   7.7; 1011.45;   87.50;   8.0;    5.7;    2.0;    1.2;  19.7;   5.4;   8;    0.000;   0;eor
