STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     5792;20141130;   3;   -0.2;   3.2;   6.0;  704.70;   55.46;   6.3;    2.1;   -2.1;   -999;  17.6;   0.1;   7;    3.350;  60;eor
     5792;20141201;   3;   -2.0;   4.4;   5.7;  698.68;   83.83;   5.9;    0.5;   -3.9;   -999;  15.8;   0.4;   7;    1.517;  60;eor
     5792;20141202;   3;   -4.5;   4.2;   7.3;  698.34;   95.79;   3.8;   -3.4;   -5.8;   -999;   8.1;   0.3;   7;    0.017;  60;eor
     5792;20141203;   3;   -4.7;   3.4;   3.3;  702.25;   78.92;   4.7;   -2.3;   -5.9;   -999;  10.4;   0.0;   7;    5.717;  60;eor
     5792;20141204;   3;   -4.9;   3.8;   4.3;  703.55;   89.42;   6.2;   -3.5;   -6.5;   -999;  17.5;   0.0;   0;    3.450;  60;eor
     5792;20141205;   3;   -5.1;   3.0;   4.0;  704.91;   73.46;   4.1;   -1.9;   -6.7;   -999;   9.5;   0.2;   7;    7.500;  60;eor
     5792;20141206;   3;   -6.5;   3.3;   6.7;  704.40;   88.96;   3.7;   -4.1;   -8.1;   -999;  11.0;   1.3;   7;    3.483;  60;eor
     5792;20141207;   3;   -8.3;   3.2;   8.0;  704.68;   98.00;   4.1;   -7.3;  -10.3;   -999;  12.3;   1.9;   7;    0.000;  60;eor
     5792;20141208;   3;  -11.9;   2.4;   8.0;  702.75;   95.17;   6.1;  -10.3;  -13.5;   -999;  15.2;   2.4;   7;    0.017;  60;eor
     5792;20141209;   3;  -14.5;   1.6;   5.7;  704.73;   77.67;   3.4;  -12.1;  -16.9;   -999;  14.0;   6.7;   7;    0.017;  63;eor
     5792;20141210;   3;   -9.4;   1.8;   5.0;  707.04;   56.63;   7.2;   -6.6;  -12.4;   -999;  20.5;   3.0;   7;    2.133;  75;eor
     5792;20141211;   3;  -10.7;   2.5;   7.0;  703.22;   93.63;  11.9;   -8.1;  -12.6;   -999;  33.1;   1.2;   7;    0.000;  75;eor
     5792;20141212;   3;   -8.0;   2.1;   4.7;  702.32;   63.67;  18.6;   -5.1;  -12.0;   -999;  34.7;   0.0;   0;    7.867;  70;eor
     5792;20141213;   3;   -5.3;   2.5;   6.7;  704.49;   59.96;  14.4;   -3.8;   -7.0;   -999;  29.7;   0.0;   0;    3.717;  67;eor
     5792;20141214;   3;   -6.2;   3.0;   6.3;  707.09;   77.04;  11.6;   -5.2;   -6.9;   -999;  29.1;   0.0;   7;    2.017;  67;eor
     5792;20141215;   3;   -5.6;   3.7;   7.7;  707.04;   92.38;  10.4;   -5.0;   -6.3;   -999;  25.0;   0.7;   7;    0.000;  67;eor
     5792;20141216;   3;   -7.3;   3.3;   8.0;  702.16;   93.88;   6.3;   -5.8;  -10.4;   -999;  18.5;  10.0;   7;    0.000;  67;eor
     5792;20141217;   3;   -9.9;   2.3;   5.3;  700.65;   78.88;  10.5;   -6.3;  -13.0;   -999;  27.9;  11.0;   7;    1.833;  77;eor
     5792;20141218;   3;   -4.4;   4.3;   8.0;  707.79;   96.79;  10.9;   -1.9;   -6.9;   -999;  24.8;  13.7;   7;    0.000;  80;eor
     5792;20141219;   3;   -5.5;   3.2;   5.0;  710.51;   79.38;  13.9;   -3.1;   -7.4;   -999;  31.0;   4.8;   7;    4.150;  90;eor
     5792;20141220;   3;   -9.9;   2.6;   6.3;  708.37;   89.92;  13.4;   -6.3;  -13.4;   -999;  31.3;  12.8;   7;    6.150;  90;eor
     5792;20141221;   3;  -12.0;   1.8;   5.7;  711.98;   76.21;  10.2;   -6.9;  -14.3;   -999;  23.7;   0.0;   7;    6.300; 100;eor
     5792;20141222;   3;   -5.3;   1.6;   5.7;  714.19;   39.88;  13.8;   -3.3;   -7.1;   -999;  29.1;   0.0;   0;    5.583; 100;eor
     5792;20141223;   3;   -2.4;   1.2;   3.0;  714.57;   23.04;  14.1;   -1.0;   -4.1;   -999;  31.2;   0.0;   0;    5.583; 100;eor
     5792;20141224;   3;   -4.0;   1.2;   5.0;  711.16;   26.96;  15.1;   -0.7;   -8.8;   -999;  29.8;   0.0;   7;    2.183; 100;eor
     5792;20141225;   3;  -10.4;   2.7;   8.0;  707.75;   94.71;   9.1;   -7.4;  -16.1;   -999;  25.6;  21.1;   7;    0.000;  90;eor
     5792;20141226;   3;  -16.7;   1.6;   8.0;  704.66;   96.33;   6.4;  -15.8;  -18.3;   -999;  17.3;  18.5;   7;    0.000; 120;eor
     5792;20141227;   3;  -15.1;   1.7;   7.0;  691.14;   87.17;  13.0;  -11.9;  -18.9;   -999;  35.7;   6.9;   7;    0.000; 145;eor
     5792;20141228;   3;  -18.5;   1.3;   8.0;  692.29;   88.50;   5.1;  -16.1;  -22.4;   -999;  21.4;  11.3;   7;    0.000; 150;eor
     5792;20141229;   3;  -20.5;   1.0;   6.3;  702.93;   80.92;   6.6;  -17.8;  -21.4;   -999;  19.8;  17.0;   7;    0.033; 170;eor
     5792;20141230;   3;  -18.8;   1.4;   8.0;  706.55;   97.33;   8.2;  -16.0;  -21.7;   -999;  17.2;  22.9;   7;    0.000; 170;eor
     5792;20141231;   3;  -12.5;   2.3;   7.3;  709.89;   97.54;   7.2;   -8.8;  -16.5;   -999;  27.5;   3.0;   7;    0.000; 200;eor
     5792;20150101;   3;   -5.2;   3.3;   1.7;  716.80;   79.54;   5.1;   -2.7;  -10.6;   -999;  15.4;   0.0;   0;    8.383; 210;eor
